t,input,output
0.01,0.8713928,-0.31127402
0.02,0.8713928,-0.41309887
0.03,0.8713928,-0.43673545
0.04,0.8713928,-0.43131474
0.05,0.8713928,-0.41522467
0.06,0.8713928,-0.3953454
0.07,0.8713928,-0.37424943
0.08,0.8713928,-0.35289705
0.09,0.8713928,-0.3316451
0.1,0.8713928,-0.3106244
0.11,0.8713928,-0.2898815
0.12,0.8713928,-0.26943138
0.13,0.8713928,-0.24927719
0.14,0.8713928,-0.2294178
0.15,0.8713928,-0.20985055
0.16,0.8713928,-0.1905722
0.17,0.8713928,-0.17157944
0.18,0.8713928,-0.1528689
0.19,0.8713928,-0.1344373
0.2,0.8713928,-0.116281375
0.21,0.8713928,-0.098398104
0.22,0.8713928,-0.080784306
0.23,0.8713928,-0.0634371
0.24,0.8713928,-0.04635351
0.25,0.8713928,-0.029530741
0.26,0.8713928,-0.01296601
0.27,0.8713928,0.0033433547
0.28,0.8713928,0.019400029
0.29,0.8713928,0.035206556
0.3,0.8713928,0.05076551
0.31,0.8713928,0.06607931
0.32,0.8713928,0.08115035
0.33,0.8713928,0.09598102
0.34,0.8713928,0.11057363
0.35,0.8713928,0.124930486
0.36,0.8713928,0.13905376
0.37,0.8713928,0.15294568
0.38,0.8713928,0.16660841
0.39,0.8713928,0.18004403
0.4,0.8713928,0.19325463
0.41,0.8713928,0.20624232
0.42,0.8713928,0.21900909
0.43,0.8713928,0.23155695
0.44,0.8713928,0.24388787
0.45,0.8713928,0.25600383
0.46,0.8713928,0.26790673
0.47,0.8713928,0.27959853
0.48,0.8713928,0.29108113
0.49,0.8713928,0.3023564
0.5,0.8713928,0.31342623
0.51,0.8713928,0.3242924
0.52,0.8713928,0.33495694
0.53,0.8713928,0.34542164
0.54,0.8713928,0.35568827
0.55,0.8713928,0.36575884
0.56,0.8713928,0.37563512
0.57,0.8713928,0.3853189
0.58,0.8713928,0.39481205
0.59,0.8713928,0.40411648
0.6,0.8713928,0.413234
0.61,0.8713928,0.42216644
0.62,0.8713928,0.43091574
0.63,0.8713928,0.43948373
0.64,0.8713928,0.44787216
0.65,0.8713928,0.45608312
0.66,0.8713928,0.4641184
0.67,0.8713928,0.47197992
0.68,0.8713928,0.47966957
0.69,0.8713928,0.48718938
0.7,0.8713928,0.4945412
0.71,0.8713928,0.5017269
0.72,0.8713928,0.50874865
0.73,0.8713928,0.5156084
0.74,0.8713928,0.522308
0.75,0.8713928,0.5288496
0.76,0.8713928,0.5352351
0.77,0.8713928,0.5414667
0.78,0.8713928,0.54754645
0.79,0.8713928,0.5534762
0.8,0.8713928,0.5592583
0.81,0.8713928,0.5648947
0.82,0.8713928,0.57038754
0.83,0.8713928,0.57573915
0.84,0.8713928,0.58095145
0.85,0.8713928,0.5860267
0.86,0.8713928,0.59096706
0.87,0.8713928,0.59577477
0.88,0.8713928,0.600452
0.89,0.8713928,0.6050011
0.9,0.8713928,0.60942423
0.91,0.8713928,0.61372364
0.92,0.8713928,0.61790156
0.93,0.8713928,0.62196034
0.94,0.8713928,0.62590224
0.95,0.8713928,0.62972957
0.96,0.8713928,0.63344467
0.97,0.8713928,0.6370499
0.98,0.8713928,0.6405475
0.99,0.8713928,0.6439399
1,0.8713928,0.64722943
1.01,0.8713928,0.65041846
1.02,0.8713928,0.6535094
1.03,0.8713928,0.65650445
1.04,0.8713928,0.65940607
1.05,0.8713928,0.66221666
1.06,0.8713928,0.6649386
1.07,0.8713928,0.6675742
1.08,0.8713928,0.67012596
1.09,0.8713928,0.6725962
1.1,0.8713928,0.6749873
1.11,0.8713928,0.6773015
1.12,0.8713928,0.67954147
1.13,0.8713928,0.6817093
1.14,0.8713928,0.68380743
1.15,0.8713928,0.6858382
1.16,0.8713928,0.68780404
1.17,0.8713928,0.68970716
1.1800001,0.8713928,0.69154984
1.19,0.8713928,0.69333446
1.2,0.8713928,0.6950633
1.21,0.8713928,0.69673866
1.22,0.8713928,0.69836277
1.23,0.8713928,0.69993794
1.24,0.8713928,0.7014663
1.25,0.8713928,0.7029501
1.26,0.8713928,0.70439154
1.27,0.8713928,0.70579267
1.28,0.8713928,0.70715576
1.29,0.8713928,0.7084828
1.3,0.8713928,0.709776
1.31,0.8713928,0.71103734
1.3199999,0.8713928,0.7122689
1.33,0.8713928,0.71347266
1.34,0.8713928,0.7146505
1.35,0.8713928,0.7158046
1.36,0.8713928,0.7169367
1.37,0.8713928,0.71804875
1.38,0.8713928,0.7191425
1.39,0.8713928,0.7202198
1.4,0.8713928,0.72128254
1.41,0.8713928,0.7223323
1.42,0.8713928,0.72337085
1.4300001,0.8713928,0.7243998
1.44,0.8713928,0.7254208
1.45,0.8713928,0.7264354
1.46,0.8713928,0.72744536
1.47,0.8713928,0.7284519
1.48,0.8713928,0.72945666
1.49,0.8713928,0.7304609
1.5,0.8713928,0.731466
1.51,0.8713928,0.7324734
1.52,0.8713928,0.73348427
1.53,0.8713928,0.73449993
1.54,0.8713928,0.73552144
1.55,0.8713928,0.7365501
1.56,0.8713928,0.737587
1.5699999,0.8713928,0.7386331
1.5799999,0.8713928,0.7396894
