t,input,output
0.01,0.0015915494,-0.0005685243
0.02,0.0031830987,-0.0013230259
0.03,0.004774648,-0.0021206983
0.04,0.0063661975,-0.00290847
0.05,0.007957747,-0.0036668545
0.06,0.009549296,-0.0043889303
0.07,0.011140846,-0.0050724754
0.08,0.012732395,-0.0057170214
0.09,0.014323945,-0.006322752
0.1,0.015915494,-0.00689009
0.11,0.017507043,-0.007419542
0.12,0.019098593,-0.007911643
0.13,0.020690141,-0.008366934
0.14,0.022281691,-0.008785953
0.15,0.023873242,-0.009169233
0.16,0.02546479,-0.009517302
0.17,0.02705634,-0.009830682
0.18,0.02864789,-0.010109888
0.19,0.030239439,-0.010355432
0.2,0.03183099,-0.010567814
0.21,0.033422537,-0.010747531
0.22,0.035014085,-0.010895079
0.23,0.036605638,-0.011010945
0.24,0.038197186,-0.011095608
0.25,0.039788734,-0.011149544
0.26,0.041380282,-0.011173225
0.27,0.042971835,-0.01116712
0.28,0.044563383,-0.011131686
0.29,0.04615493,-0.011067382
0.3,0.047746483,-0.010974663
0.31,0.04933803,-0.010853973
0.32,0.05092958,-0.010705756
0.33,0.052521132,-0.010530453
0.34,0.05411268,-0.010328494
0.35,0.05570423,-0.010100317
0.36,0.05729578,-0.009846344
0.37,0.05888733,-0.009566995
0.38,0.060478877,-0.009262695
0.39,0.062070426,-0.008933853
0.4,0.06366198,-0.008580889
0.41,0.065253526,-0.008204197
0.42,0.066845074,-0.0078041893
0.43,0.06843662,-0.0073812627
0.44,0.07002817,-0.006935815
0.45,0.07161972,-0.006468237
0.46,0.073211275,-0.005978926
0.47,0.07480282,-0.0054682572
0.48,0.07639437,-0.0049366155
0.49,0.07798592,-0.004384376
0.5,0.07957747,-0.0038119194
0.51,0.08116902,-0.0032196185
0.52,0.082760565,-0.0026078394
0.53,0.08435211,-0.0019769466
0.54,0.08594367,-0.0013273048
0.55,0.08753522,-0.00065927004
0.56,0.089126766,0.000026807025
0.57,0.090718314,0.00073057006
0.58,0.09230986,0.0014516711
0.59,0.09390141,0.002189767
0.6,0.09549297,0.0029445146
0.61,0.097084515,0.003715579
0.62,0.09867606,0.0045026224
0.63,0.10026761,0.005305316
0.64,0.10185916,0.0061233295
0.65,0.10345071,0.0069563435
0.66,0.105042264,0.007804032
0.67,0.10663381,0.008666074
0.68,0.10822536,0.009542163
0.69,0.10981691,0.010431987
0.7,0.11140846,0.011335242
0.71,0.113000005,0.012251612
0.72,0.11459156,0.01318081
0.73,0.11618311,0.014122541
0.74,0.11777466,0.01507651
0.75,0.119366206,0.016042428
0.76,0.120957755,0.017020006
0.77,0.1225493,0.018008968
0.78,0.12414085,0.019009033
0.79,0.1257324,0.020019922
0.8,0.12732396,0.02104138
0.81,0.1289155,0.022073127
0.82,0.13050705,0.02311491
0.83,0.1320986,0.024166465
0.84,0.13369015,0.025227541
0.85,0.1352817,0.026297888
0.86,0.13687325,0.027377259
0.87,0.1384648,0.028465413
0.88,0.14005634,0.02956211
0.89,0.14164789,0.030667111
0.9,0.14323944,0.03178019
0.91,0.144831,0.032901116
0.92,0.14642255,0.034029674
0.93,0.1480141,0.035165653
0.94,0.14960565,0.03630882
0.95,0.1511972,0.037458986
0.96,0.15278874,0.038615935
0.97,0.15438029,0.039779473
0.98,0.15597184,0.04094939
0.99,0.15756339,0.042125516
1,0.15915494,0.04330765
1.01,0.16074648,0.044495605
1.02,0.16233803,0.045689207
1.03,0.16392958,0.046888273
1.04,0.16552113,0.048092637
1.05,0.16711268,0.049302135
1.06,0.16870423,0.050516613
1.07,0.17029579,0.051735897
1.08,0.17188734,0.05295985
1.09,0.17347889,0.054188304
1.1,0.17507043,0.05542113
1.11,0.17666198,0.05665818
1.12,0.17825353,0.057899326
1.13,0.17984508,0.059144426
1.14,0.18143663,0.06039336
