t,input,output
0.01,0.009999833,-0.0035720835
0.02,0.019998666,-0.00831232
0.03,0.0299955,-0.013322972
0.04,0.039989334,-0.018270083
0.05,0.04997917,-0.023030726
0.06,0.059964005,-0.027560933
0.07,0.06994285,-0.031846296
0.08,0.07991469,-0.035883438
0.09,0.08987855,-0.039673112
0.1,0.09983342,-0.043217596
0.11,0.10977831,-0.046519715
0.12,0.119712204,-0.049582504
0.13,0.12963414,-0.052409053
0.14,0.13954312,-0.055002462
0.15,0.14943814,-0.057365827
0.16,0.15931821,-0.059502218
0.17,0.16918235,-0.0614147
0.18,0.17902958,-0.063106336
0.19,0.1888589,-0.064580135
0.2,0.19866933,-0.06583913
0.21,0.20845988,-0.06688632
0.22,0.21822964,-0.0677247
0.23,0.22797753,-0.06835722
0.24,0.23770262,-0.06878686
0.25,0.24740396,-0.06901659
0.26,0.25708055,-0.0690493
0.27,0.26673144,-0.06888795
0.28,0.27635565,-0.068535455
0.29,0.2859522,-0.0679947
0.3,0.29552022,-0.06726861
0.31,0.30505863,-0.06636006
0.32,0.31456655,-0.065271914
0.33,0.32404304,-0.06400705
0.34,0.3334871,-0.06256832
0.35,0.3428978,-0.060958594
0.36,0.35227424,-0.05918069
0.37,0.36161542,-0.05723745
0.38,0.37092048,-0.055131696
0.39,0.3801884,-0.052866247
0.4,0.38941833,-0.05044391
0.41,0.3986093,-0.047867473
0.42,0.4077604,-0.045139737
0.43,0.4168708,-0.042263504
0.44,0.4259395,-0.039241556
0.45,0.43496552,-0.03607662
0.46,0.44394812,-0.032771513
0.47,0.45288628,-0.029328937
0.48,0.46177918,-0.025751645
0.49,0.4706259,-0.022042418
0.5,0.47942555,-0.018203918
0.51,0.48817724,-0.014238905
0.52,0.4968801,-0.010150096
0.53,0.50553334,-0.0059401835
0.54,0.514136,-0.001611893
0.55,0.52268726,0.0028321622
0.56,0.5311862,0.007389263
0.57,0.539632,0.012056764
0.58,0.54802394,0.016831983
0.59,0.556361,0.021712305
0.6,0.5646425,0.026695078
0.61,0.57286745,0.031777695
0.62,0.58103514,0.036957562
0.63,0.58914477,0.042232037
0.64,0.59719545,0.047598563
0.65,0.60518634,0.053054564
0.66,0.61311686,0.05859745
0.67,0.620986,0.06422469
0.68,0.628793,0.069933765
0.69,0.63653725,0.07572209
0.7,0.64421767,0.08158724
0.71,0.6518338,0.087526694
0.72,0.65938467,0.09353796
0.73,0.6668697,0.099618584
0.74,0.67428786,0.1057662
0.75,0.6816388,0.11197825
0.76,0.68892145,0.11825239
0.77,0.6961352,0.12458624
0.78,0.7032794,0.13097739
0.79,0.7103533,0.13742349
0.8,0.7173561,0.1439222
0.81,0.72428715,0.1504712
0.82,0.7311458,0.15706818
0.83,0.7379314,0.16371086
0.84,0.7446431,0.17039701
0.85,0.7512804,0.17712437
0.86,0.7578426,0.1838907
0.87,0.76432896,0.19069381
0.88,0.7707389,0.1975315
0.89,0.7770717,0.20440167
0.9,0.7833269,0.21130213
0.91,0.78950375,0.21823081
0.92,0.7956016,0.22518566
0.93,0.8016199,0.23216458
0.94,0.8075581,0.23916546
0.95,0.8134155,0.24618635
0.96,0.8191916,0.2532253
0.97,0.8248858,0.2602802
0.98,0.8304974,0.26734927
0.99,0.836026,0.2744305
1,0.84147096,0.28152213
1.01,0.84683186,0.28862214
1.02,0.852108,0.29572874
1.03,0.857299,0.30284017
1.04,0.8624042,0.30995455
