t,input,output
0.01,1,-0.3572143
0.02,1,-0.47406727
0.03,1,-0.5011923
0.04,1,-0.49497157
0.05,1,-0.4765068
0.06,1,-0.4536936
0.07,1,-0.42948416
0.08,1,-0.40498045
0.09,1,-0.3805919
0.1,1,-0.35646883
0.11,1,-0.33266452
0.12,1,-0.3091962
0.13,1,-0.28606752
0.14,1,-0.26327714
0.15,1,-0.24082203
0.16,1,-0.21869847
0.17,1,-0.19690257
0.18,1,-0.17543054
0.19,1,-0.15427865
0.2,1,-0.13344313
0.21,1,-0.11292047
0.22,1,-0.09270714
0.23,1,-0.07279968
0.24,1,-0.05319478
0.25,1,-0.033889156
0.26,1,-0.014879701
0.27,1,0.0038367505
0.28,1,0.022263194
0.29,1,0.04040262
0.3,1,0.05825789
0.31,1,0.07583179
0.32,1,0.09312716
0.33,1,0.110146694
0.34,1,0.12689304
0.35,1,0.14336878
0.36,1,0.1595765
0.37,1,0.17551869
0.38,1,0.19119786
0.39,1,0.20661648
0.4,1,0.22177681
0.41,1,0.23668134
0.42,1,0.2513323
0.43,1,0.26573208
0.44,1,0.27988288
0.45,1,0.293787
0.46,1,0.3074466
0.47,1,0.32086393
0.48,1,0.3340412
0.49,1,0.34698054
0.5,1,0.35968414
0.51,1,0.3721541
0.52,1,0.3843926
0.53,1,0.39640176
0.54,1,0.4081837
0.55,1,0.4197405
0.56,1,0.43107432
0.57,1,0.44218734
0.58,1,0.45308155
0.59,1,0.46375924
0.6,1,0.4742224
0.61,1,0.4844733
0.62,1,0.49451384
0.63,1,0.5043463
0.64,1,0.5139729
0.65,1,0.52339566
0.66,1,0.5326169
0.67,1,0.5416387
0.68,1,0.5504633
0.69,1,0.55909294
0.7,1,0.5675298
0.71,1,0.57577616
0.72,1,0.5838343
0.73,1,0.5917064
0.74,1,0.5993948
0.75,1,0.6069018
0.76,1,0.6142298
0.77,1,0.62138104
0.78,1,0.62835795
0.79,1,0.63516295
0.8,1,0.64179844
0.81,1,0.6482668
0.82,1,0.6545704
0.83,1,0.6607118
0.84,1,0.66669345
0.85,1,0.6725177
0.86,1,0.67818725
0.87,1,0.68370456
0.88,1,0.68907213
0.89,1,0.6942926
0.9,1,0.6993685
0.91,1,0.7043024
0.92,1,0.70909697
0.93,1,0.71375483
0.94,1,0.7182785
0.95,1,0.7226707
0.96,1,0.72693413
0.97,1,0.7310715
0.98,1,0.73508525
0.99,1,0.7389783
1,1,0.74275327
1.01,1,0.7464129
1.02,1,0.7499599
1.03,1,0.753397
1.04,1,0.75672686
1.05,1,0.75995225
1.06,1,0.7630759
1.07,1,0.7661005
1.08,1,0.76902884
1.09,1,0.7718636
1.1,1,0.7746075
1.11,1,0.77726334
1.12,1,0.77983373
1.13,1,0.7823215
1.14,1,0.7847293
1.15,1,0.7870597
1.16,1,0.7893156
1.17,1,0.7914995
1.1800001,1,0.7936141
1.19,1,0.7956621
1.2,1,0.7976461
1.21,1,0.7995687
1.22,1,0.80143255
1.23,1,0.8032401
1.24,1,0.804994
1.25,1,0.8066967
1.26,1,0.8083508
1.27,1,0.80995876
1.28,1,0.81152296
1.29,1,0.81304586
1.3,1,0.81452984
1.31,1,0.81597733
1.3199999,1,0.8173906
1.33,1,0.818772
1.34,1,0.8201238
1.35,1,0.82144815
1.36,1,0.8227473
1.37,1,0.8240234
1.38,1,0.82527864
1.39,1,0.82651496
1.4,1,0.8277345
1.41,1,0.82893914
1.42,1,0.830131
1.4300001,1,0.8313118
1.44,1,0.83248353
1.45,1,0.833648
1.46,1,0.834807
1.47,1,0.83596206
1.48,1,0.83711505
1.49,1,0.83826756
1.5,1,0.8394211
1.51,1,0.8405772
1.52,1,0.8417373
1.53,1,0.84290284
1.54,1,0.8440752
1.55,1,0.8452557
1.56,1,0.84644556
1.5699999,1,0.847646
1.5799999,1,0.8488582
1.5899999,1,0.8500832
1.6,1,0.85132205
1.61,1,0.85257584
1.62,1,0.8538453
1.63,1,0.8551314
1.64,1,0.85643494
1.65,1,0.8577568
1.6600001,1,0.8590975
1.6700001,1,0.8604578
1.6800001,1,0.8618381
1.69,1,0.8632391
1.7,1,0.8646612
1.71,1,0.8661049
1.72,1,0.86757046
1.73,1,0.8690583
1.74,1,0.8705687
1.75,1,0.8721018
1.76,1,0.8736577
1.77,1,0.8752365
1.78,1,0.8768382
1.79,1,0.878463
1.8,1,0.88011056
1.81,1,0.8817809
1.8199999,1,0.8834739
1.8299999,1,0.8851891
1.8399999,1,0.8869266
1.85,1,0.88868594
1.86,1,0.8904667
1.87,1,0.8922684
1.88,1,0.8940908
1.89,1,0.8959332
1.9,1,0.8977953
1.9100001,1,0.8996763
1.9200001,1,0.90157574
1.9300001,1,0.90349287
1.94,1,0.90542704
1.95,1,0.90737736
1.96,1,0.9093432
1.97,1,0.9113237
1.98,1,0.9133181
1.99,1,0.91532546
2,1,0.91734487
2.01,1,0.9193754
2.02,1,0.92141604
2.03,1,0.92346585
2.04,1,0.9255238
2.05,1,0.9275888
2.06,1,0.9296599
2.07,1,0.93173593
2.08,1,0.9338158
2.09,1,0.93589836
2.1,1,0.9379825
2.11,1,0.9400671
2.12,1,0.94215095
2.13,1,0.9442329
2.14,1,0.94631165
2.15,1,0.9483861
2.16,1,0.95045495
2.17,1,0.9525171
2.18,1,0.9545713
2.19,1,0.9566162
2.2,1,0.9586507
2.21,1,0.9606736
2.22,1,0.96268344
2.23,1,0.96467924
2.24,1,0.9666597
2.25,1,0.96862364
2.26,1,0.9705698
2.27,1,0.9724969
2.28,1,0.974404
