t,input,output
0.01,0.0015915494,0.0015915494
0.02,0.0031830987,0.0031830987
0.03,0.004774648,0.004774648
0.04,0.0063661975,0.0063661975
0.05,0.007957747,0.007957747
0.06,0.009549296,0.009549296
0.07,0.011140846,0.011140846
0.08,0.012732395,0.012732395
0.09,0.014323945,0.014323945
0.1,0.015915494,0.015915494
0.11,0.017507043,0.017507043
0.12,0.019098593,0.019098593
0.13,0.020690141,0.020690141
0.14,0.022281691,0.022281691
0.15,0.023873242,0.023873242
0.16,0.02546479,0.02546479
0.17,0.02705634,0.02705634
0.18,0.02864789,0.02864789
0.19,0.030239439,0.030239439
0.2,0.03183099,0.03183099
0.21,0.033422537,0.033422537
0.22,0.035014085,0.035014085
0.23,0.036605638,0.036605638
0.24,0.038197186,0.038197186
0.25,0.039788734,0.039788734
0.26,0.041380282,0.041380282
0.27,0.042971835,0.042971835
0.28,0.044563383,0.044563383
0.29,0.04615493,0.04615493
0.3,0.047746483,0.047746483
0.31,0.04933803,0.04933803
0.32,0.05092958,0.05092958
0.33,0.052521132,0.052521132
0.34,0.05411268,0.05411268
0.35,0.05570423,0.05570423
0.36,0.05729578,0.05729578
0.37,0.05888733,0.05888733
0.38,0.060478877,0.060478877
0.39,0.062070426,0.062070426
0.4,0.06366198,0.06366198
0.41,0.065253526,0.065253526
0.42,0.066845074,0.066845074
0.43,0.06843662,0.06843662
0.44,0.07002817,0.07002817
0.45,0.07161972,0.07161972
0.46,0.073211275,0.073211275
0.47,0.07480282,0.07480282
0.48,0.07639437,0.07639437
0.49,0.07798592,0.07798592
0.5,0.07957747,0.07957747
0.51,0.08116902,0.08116902
0.52,0.082760565,0.082760565
0.53,0.08435211,0.08435211
0.54,0.08594367,0.08594367
0.55,0.08753522,0.08753522
0.56,0.089126766,0.089126766
0.57,0.090718314,0.090718314
0.58,0.09230986,0.09230986
0.59,0.09390141,0.09390141
0.6,0.09549297,0.09549297
0.61,0.097084515,0.097084515
0.62,0.09867606,0.09867606
0.63,0.10026761,0.10026761
0.64,0.10185916,0.10185916
0.65,0.10345071,0.10345071
0.66,0.105042264,0.105042264
0.67,0.10663381,0.10663381
0.68,0.10822536,0.10822536
0.69,0.10981691,0.10981691
0.7,0.11140846,0.11140846
0.71,0.113000005,0.113000005
0.72,0.11459156,0.11459156
0.73,0.11618311,0.11618311
0.74,0.11777466,0.11777466
0.75,0.119366206,0.119366206
0.76,0.120957755,0.120957755
0.77,0.1225493,0.1225493
0.78,0.12414085,0.12414085
0.79,0.1257324,0.1257324
0.8,0.12732396,0.12732396
0.81,0.1289155,0.1289155
0.82,0.13050705,0.13050705
0.83,0.1320986,0.1320986
0.84,0.13369015,0.13369015
0.85,0.1352817,0.1352817
0.86,0.13687325,0.13687325
0.87,0.1384648,0.1384648
0.88,0.14005634,0.14005634
0.89,0.14164789,0.14164789
0.9,0.14323944,0.14323944
0.91,0.144831,0.144831
0.92,0.14642255,0.14642255
0.93,0.1480141,0.1480141
0.94,0.14960565,0.14960565
0.95,0.1511972,0.1511972
0.96,0.15278874,0.15278874
0.97,0.15438029,0.15438029
0.98,0.15597184,0.15597184
0.99,0.15756339,0.15756339
1,0.15915494,0.15915494
1.01,0.16074648,0.16074648
1.02,0.16233803,0.16233803
1.03,0.16392958,0.16392958
1.04,0.16552113,0.16552113
1.05,0.16711268,0.16711268
1.06,0.16870423,0.16870423
1.07,0.17029579,0.17029579
1.08,0.17188734,0.17188734
1.09,0.17347889,0.17347889
1.1,0.17507043,0.17507043
1.11,0.17666198,0.17666198
1.12,0.17825353,0.17825353
1.13,0.17984508,0.17984508
1.14,0.18143663,0.18143663
1.15,0.18302818,0.18302818
1.16,0.18461972,0.18461972
1.17,0.18621127,0.18621127
1.1800001,0.18780284,0.18780284
1.19,0.18939438,0.18939438
1.2,0.19098593,0.19098593
1.21,0.19257748,0.19257748
1.22,0.19416903,0.19416903
1.23,0.19576058,0.19576058
1.24,0.19735213,0.19735213
1.25,0.19894367,0.19894367
1.26,0.20053522,0.20053522
1.27,0.20212677,0.20212677
1.28,0.20371832,0.20371832
1.29,0.20530987,0.20530987
1.3,0.20690142,0.20690142
1.31,0.20849296,0.20849296
1.3199999,0.21008451,0.21008451
1.33,0.21167608,0.21167608
1.34,0.21326762,0.21326762
1.35,0.21485917,0.21485917
1.36,0.21645072,0.21645072
1.37,0.21804227,0.21804227
1.38,0.21963382,0.21963382
1.39,0.22122537,0.22122537
1.4,0.22281691,0.22281691
1.41,0.22440846,0.22440846
1.42,0.22600001,0.22600001
1.4300001,0.22759157,0.22759157
1.44,0.22918312,0.22918312
1.45,0.23077467,0.23077467
1.46,0.23236622,0.23236622
1.47,0.23395777,0.23395777
1.48,0.23554932,0.23554932
1.49,0.23714086,0.23714086
1.5,0.23873241,0.23873241
1.51,0.24032396,0.24032396
1.52,0.24191551,0.24191551
1.53,0.24350706,0.24350706
1.54,0.2450986,0.2450986
1.55,0.24669015,0.24669015
1.56,0.2482817,0.2482817
1.5699999,0.24987324,0.24987324
1.5799999,0.25146478,0.25146478
1.5899999,0.25305635,0.25305635
1.6,0.2546479,0.2546479
1.61,0.25623944,0.25623944
1.62,0.257831,0.257831
1.63,0.25942254,0.25942254
1.64,0.2610141,0.2610141
1.65,0.26260564,0.26260564
1.6600001,0.2641972,0.2641972
1.6700001,0.26578876,0.26578876
1.6800001,0.2673803,0.2673803
1.69,0.26897186,0.26897186
1.7,0.2705634,0.2705634
1.71,0.27215496,0.27215496
1.72,0.2737465,0.2737465
1.73,0.27533805,0.27533805
1.74,0.2769296,0.2769296
1.75,0.27852115,0.27852115
1.76,0.28011268,0.28011268
1.77,0.28170425,0.28170425
1.78,0.28329578,0.28329578
1.79,0.28488734,0.28488734
1.8,0.28647888,0.28647888
1.81,0.28807044,0.28807044
1.8199999,0.28966197,0.28966197
1.8299999,0.29125354,0.29125354
1.8399999,0.29284507,0.29284507
1.85,0.29443663,0.29443663
1.86,0.2960282,0.2960282
1.87,0.29761973,0.29761973
1.88,0.2992113,0.2992113
1.89,0.30080283,0.30080283
1.9,0.3023944,0.3023944
1.9100001,0.30398595,0.30398595
1.9200001,0.3055775,0.3055775
1.9300001,0.30716905,0.30716905
1.94,0.30876058,0.30876058
1.95,0.31035215,0.31035215
1.96,0.31194368,0.31194368
1.97,0.31353524,0.31353524
1.98,0.31512678,0.31512678
1.99,0.31671834,0.31671834
2,0.31830987,0.31830987
2.01,0.31990144,0.31990144
2.02,0.32149297,0.32149297
2.03,0.32308453,0.32308453
