t,input,output
0.01,0.009999833,0.009999833
0.02,0.019998666,0.019998666
0.03,0.0299955,0.029995497
0.04,0.039989334,0.039989334
0.05,0.04997917,0.04997917
0.06,0.059964005,0.059964005
0.07,0.06994285,0.06994285
0.08,0.07991469,0.07991469
0.09,0.08987855,0.08987855
0.1,0.09983342,0.09983342
0.11,0.10977831,0.10977831
0.12,0.119712204,0.119712204
0.13,0.12963414,0.12963414
0.14,0.13954312,0.13954312
0.15,0.14943814,0.14943814
0.16,0.15931821,0.15931821
0.17,0.16918235,0.16918235
0.18,0.17902958,0.17902958
0.19,0.1888589,0.1888589
0.2,0.19866933,0.19866933
0.21,0.20845988,0.20845988
0.22,0.21822964,0.21822964
0.23,0.22797753,0.22797753
0.24,0.23770262,0.23770262
0.25,0.24740396,0.24740396
0.26,0.25708055,0.25708055
0.27,0.26673144,0.26673144
0.28,0.27635565,0.27635565
0.29,0.2859522,0.2859522
0.3,0.29552022,0.29552022
0.31,0.30505863,0.30505863
0.32,0.31456655,0.31456655
0.33,0.32404304,0.32404304
0.34,0.3334871,0.3334871
0.35,0.3428978,0.3428978
0.36,0.35227424,0.35227424
0.37,0.36161542,0.36161542
0.38,0.37092048,0.37092048
0.39,0.3801884,0.3801884
0.4,0.38941833,0.38941833
0.41,0.3986093,0.3986093
0.42,0.4077604,0.4077604
0.43,0.4168708,0.4168708
0.44,0.4259395,0.4259395
0.45,0.43496552,0.43496552
0.46,0.44394812,0.44394812
0.47,0.45288628,0.45288628
0.48,0.46177918,0.46177918
0.49,0.4706259,0.4706259
0.5,0.47942555,0.47942555
0.51,0.48817724,0.48817724
0.52,0.4968801,0.4968801
0.53,0.50553334,0.50553334
0.54,0.514136,0.514136
0.55,0.52268726,0.52268726
0.56,0.5311862,0.5311862
0.57,0.539632,0.539632
0.58,0.54802394,0.54802394
0.59,0.556361,0.556361
0.6,0.5646425,0.5646425
0.61,0.57286745,0.57286745
0.62,0.58103514,0.58103514
0.63,0.58914477,0.58914477
0.64,0.59719545,0.59719545
0.65,0.60518634,0.60518634
0.66,0.61311686,0.61311686
0.67,0.620986,0.620986
0.68,0.628793,0.628793
0.69,0.63653725,0.63653725
0.7,0.64421767,0.64421767
0.71,0.6518338,0.6518338
0.72,0.65938467,0.65938467
0.73,0.6668697,0.6668697
0.74,0.67428786,0.67428786
0.75,0.6816388,0.6816388
0.76,0.68892145,0.68892145
0.77,0.6961352,0.6961352
0.78,0.7032794,0.7032794
0.79,0.7103533,0.7103533
0.8,0.7173561,0.7173561
0.81,0.72428715,0.72428715
