t,input,output
0.01,0.61701596,0.61679745
0.02,0.61701596,0.6139371
0.03,0.61701596,0.61467165
0.04,0.61701596,0.61468023
0.05,0.61701596,0.6146954
0.06,0.61701596,0.6147096
0.07,0.61701596,0.6147238
0.08,0.61701596,0.61473787
0.09,0.61701596,0.6147518
0.1,0.61701596,0.6147657
0.11,0.61701596,0.61477953
0.12,0.61701596,0.61479324
0.13,0.61701596,0.6148069
0.14,0.61701596,0.6148205
0.15,0.61701596,0.61483395
0.16,0.61701596,0.6148473
0.17,0.61701596,0.6148606
0.18,0.61701596,0.6148738
0.19,0.61701596,0.614887
0.2,0.61701596,0.61490005
0.21,0.61701596,0.61491305
0.22,0.61701596,0.6149259
0.23,0.61701596,0.6149388
0.24,0.61701596,0.6149515
0.25,0.61701596,0.6149642
0.26,0.61701596,0.61497676
0.27,0.61701596,0.6149893
0.28,0.61701596,0.61500174
0.29,0.61701596,0.6150141
0.3,0.61701596,0.61502635
0.31,0.61701596,0.6150386
0.32,0.61701596,0.61505073
0.33,0.61701596,0.6150628
0.34,0.61701596,0.61507475
0.35,0.61701596,0.6150867
0.36,0.61701596,0.6150985
0.37,0.61701596,0.6151103
0.38,0.61701596,0.61512196
0.39,0.61701596,0.6151336
0.4,0.61701596,0.61514515
0.41,0.61701596,0.6151566
0.42,0.61701596,0.61516804
0.43,0.61701596,0.61517936
0.44,0.61701596,0.6151906
0.45,0.61701596,0.61520183
0.46,0.61701596,0.615213
0.47,0.61701596,0.615224
0.48,0.61701596,0.61523503
0.49,0.61701596,0.61524594
0.5,0.61701596,0.6152568
0.51,0.61701596,0.61526763
0.52,0.61701596,0.61527836
0.53,0.61701596,0.615289
0.54,0.61701596,0.6152996
0.55,0.61701596,0.61531013
0.56,0.61701596,0.61532056
0.57,0.61701596,0.615331
0.58,0.61701596,0.6153413
0.59,0.61701596,0.6153516
0.6,0.61701596,0.6153618
0.61,0.61701596,0.615372
0.62,0.61701596,0.6153821
0.63,0.61701596,0.6153921
0.64,0.61701596,0.61540204
0.65,0.61701596,0.61541194
0.66,0.61701596,0.6154218
0.67,0.61701596,0.6154316
0.68,0.61701596,0.6154413
0.69,0.61701596,0.615451
0.7,0.61701596,0.6154606
0.71,0.61701596,0.6154701
0.72,0.61701596,0.6154796
0.73,0.61701596,0.615489
0.74,0.61701596,0.6154984
0.75,0.61701596,0.6155077
0.76,0.61701596,0.61551696
0.77,0.61701596,0.61552614
0.78,0.61701596,0.6155353
0.79,0.61701596,0.6155444
0.8,0.61701596,0.61555344
0.81,0.61701596,0.6155624
0.82,0.61701596,0.6155713
0.83,0.61701596,0.6155802
0.84,0.61701596,0.61558896
0.85,0.61701596,0.6155977
0.86,0.61701596,0.6156064
0.87,0.61701596,0.61561507
0.88,0.61701596,0.6156237
0.89,0.61701596,0.61563224
0.9,0.61701596,0.6156407
0.91,0.61701596,0.61564916
0.92,0.61701596,0.61565757
0.93,0.61701596,0.6156659
0.94,0.61701596,0.61567414
