t,input,output
0.01,0.0063661975,0.006363943
0.02,0.012732395,0.012698374
0.03,0.019098593,0.019040383
0.04,0.02546479,0.025382482
0.05,0.03183099,0.031724736
0.06,0.038197186,0.03806714
0.07,0.044563383,0.044409685
0.08,0.05092958,0.05075238
0.09,0.05729578,0.05709522
0.1,0.06366198,0.0634382
0.11,0.07002817,0.06978132
0.12,0.07639437,0.076124586
0.13,0.082760565,0.08246799
0.14,0.089126766,0.08881153
0.15,0.09549297,0.09515522
0.16,0.10185916,0.101499036
0.17,0.10822536,0.107843
0.18,0.11459156,0.1141871
0.19,0.120957755,0.12053133
0.2,0.12732396,0.1268757
0.21,0.13369015,0.1332202
0.22,0.14005634,0.13956483
0.23,0.14642255,0.14590959
0.24,0.15278874,0.15225449
0.25,0.15915494,0.15859951
0.26,0.16552113,0.16494466
0.27,0.17188734,0.17128997
0.28,0.17825353,0.17763537
0.29,0.18461972,0.18398091
0.3,0.19098593,0.1903266
0.31,0.19735213,0.19667238
0.32,0.20371832,0.20301831
0.33,0.21008453,0.20936435
0.34,0.21645072,0.21571052
0.35,0.22281691,0.2220568
0.36,0.22918312,0.22840324
0.37,0.23554932,0.23474976
0.38,0.24191551,0.24109642
0.39,0.2482817,0.24744318
0.4,0.2546479,0.25379008
0.41,0.2610141,0.2601371
0.42,0.2673803,0.26648423
0.43,0.2737465,0.27283147
0.44,0.28011268,0.27917883
0.45,0.28647888,0.2855263
0.46,0.2928451,0.29187393
0.47,0.2992113,0.29822165
0.48,0.3055775,0.30456945
0.49,0.31194368,0.31091738
0.5,0.31830987,0.31726542
0.51,0.32467607,0.32361358
0.52,0.33104226,0.32996184
0.53,0.33740845,0.3363102
0.54,0.34377468,0.34265873
0.55,0.35014087,0.34900734
0.56,0.35650706,0.35535604
0.57,0.36287326,0.36170483
0.58,0.36923945,0.36805376
0.59,0.37560564,0.37440276
0.6,0.38197187,0.38075194
0.61,0.38833806,0.38710117
0.62,0.39470425,0.3934505
0.63,0.40107045,0.39979994
0.64,0.40743664,0.40614948
0.65,0.41380283,0.41249913
0.66,0.42016906,0.4188489
0.67,0.42653525,0.42519873
0.68,0.43290144,0.43154868
0.69,0.43926764,0.43789873
0.7,0.44563383,0.44424888
0.71,0.45200002,0.45059913
0.72,0.45836625,0.4569495
0.73,0.46473244,0.46329993
0.74,0.47109863,0.46965048
0.75,0.47746482,0.47600108
0.76,0.48383102,0.48235184
0.77,0.4901972,0.48870265
0.78,0.4965634,0.49505356
0.79,0.5029296,0.5014046
0.8,0.5092958,0.5077557
0.81,0.515662,0.5141069
0.82,0.5220282,0.52045816
0.83,0.5283944,0.5268096
0.84,0.5347606,0.53316104
0.85,0.5411268,0.5395126
0.86,0.547493,0.5458642
0.87,0.5538592,0.552216
0.88,0.56022537,0.5585678
0.89,0.56659156,0.5649197
0.9,0.57295775,0.5712717
0.91,0.579324,0.5776239
0.92,0.5856902,0.5839761
0.93,0.5920564,0.59032834
0.94,0.5984226,0.5966807
0.95,0.6047888,0.6030331
0.96,0.611155,0.6093856
0.97,0.61752117,0.6157382
0.98,0.62388736,0.62209094
0.99,0.63025355,0.6284437
1,0.63661975,0.63479656
1.01,0.64298594,0.64114946
1.02,0.64935213,0.6475025
1.03,0.6557183,0.65385556
1.04,0.6620845,0.66020876
1.05,0.6684507,0.666562
1.06,0.6748169,0.67291534
1.07,0.68118316,0.67926884
1.08,0.68754935,0.68562233
1.09,0.69391555,0.6919759
1.1,0.70028174,0.6983295
1.11,0.70664793,0.70468324
1.12,0.7130141,0.71103704
1.13,0.7193803,0.71739095
1.14,0.7257465,0.72374487
1.15,0.7321127,0.7300989
1.16,0.7384789,0.736453
1.17,0.7448451,0.7428072
1.1800001,0.75121135,0.7491615
1.19,0.75757754,0.7555158
1.2,0.76394373,0.7618702
1.21,0.7703099,0.7682247
1.22,0.7766761,0.7745792
1.23,0.7830423,0.78093386
1.24,0.7894085,0.78728855
1.25,0.7957747,0.7936433
1.26,0.8021409,0.7999981
1.27,0.8085071,0.806353
1.28,0.8148733,0.81270796
1.29,0.8212395,0.819063
1.3,0.82760566,0.8254181
1.31,0.83397186,0.8317733
1.3199999,0.84033805,0.8381285
1.33,0.8467043,0.84448385
1.34,0.8530705,0.85083926
1.35,0.8594367,0.85719466
1.36,0.8658029,0.8635502
1.37,0.8721691,0.86990577
1.38,0.8785353,0.87626135
1.39,0.88490146,0.88261706
1.4,0.89126766,0.8889728
1.41,0.89763385,0.89532864
1.42,0.90400004,0.9016845
1.4300001,0.9103663,0.9080406
1.44,0.9167325,0.9143966
1.45,0.9230987,0.92075264
1.46,0.9294649,0.9271088
1.47,0.93583107,0.933465
1.48,0.94219726,0.93982124
1.49,0.94856346,0.9461776
1.5,0.95492965,0.95253396
1.51,0.96129584,0.95889044
1.52,0.96766204,0.9652469
1.53,0.9740282,0.9716035
1.54,0.9803944,0.9779601
1.55,0.9867606,0.9843168
