t,input,output
0.01,0.039989334,0.03989825
0.02,0.07991469,0.07972983
0.03,0.119712204,0.11933535
0.04,0.15931821,0.15875122
0.05,0.19866933,0.19791435
0.06,0.23770262,0.23676181
0.07,0.27635565,0.27523148
0.08,0.31456655,0.3132618
0.09,0.35227424,0.35079196
0.1,0.38941833,0.38776183
0.11,0.4259395,0.42411238
0.12,0.46177918,0.4597853
0.13,0.4968801,0.49472362
0.14,0.5311862,0.5288715
0.15,0.5646425,0.56217414
0.16,0.59719545,0.5945784
0.17,0.628793,0.6260323
0.18,0.65938467,0.6564857
0.19,0.68892145,0.6858897
0.2,0.7173561,0.7141974
0.21,0.7446431,0.74136335
0.22,0.7707389,0.7673443
0.23,0.7956016,0.7920984
0.24,0.8191916,0.8155863
0.25,0.84147096,0.8377703
0.26,0.8624042,0.8586149
0.27,0.8819578,0.8780868
0.28,0.90010047,0.8961549
0.29,0.9168031,0.91279006
0.3,0.9320391,0.9279659
0.31,0.94578403,0.941658
0.32,0.95801586,0.9538445
0.33,0.96871513,0.964506
0.34,0.9778646,0.9736252
0.35,0.98544973,0.9811877
0.36,0.99145836,0.98718137
0.37,0.99588084,0.9915965
0.38,0.99871016,0.99442625
0.39,0.9999417,0.99566585
0.4,0.9995736,0.99531347
0.41,0.9976064,0.9933696
0.42,0.99404323,0.98983735
0.43,0.98888975,0.9847224
0.44,0.9821543,0.9780328
0.45,0.9738476,0.9697795
0.46,0.963983,0.9599755
0.47,0.9525762,0.94863653
0.48,0.93964547,0.9357807
0.49,0.9252115,0.9214286
0.5,0.9092974,0.90560323
0.51,0.8919287,0.88832986
0.52,0.873133,0.8696361
0.53,0.85294056,0.849552
0.54,0.8313834,0.82810926
0.55,0.80849636,0.8053427
0.56,0.78431594,0.7812885
0.57,0.75888073,0.75598514
0.58,0.7322315,0.7294731
0.59,0.70441085,0.7017948
0.6,0.67546314,0.67299443
0.61,0.645435,0.64311826
0.62,0.6143742,0.6122139
0.63,0.58233064,0.5803309
0.64,0.5493555,0.5475203
0.65,0.5155017,0.51383466
0.66,0.48082253,0.47932705
0.67,0.44537458,0.44405377
0.68,0.40921414,0.4080708
0.69,0.37239882,0.37143552
0.7,0.3349882,0.33420715
0.71,0.29704145,0.2964446
0.72,0.25861925,0.25820827
0.73,0.2197833,0.21955952
0.74,0.18059647,0.18056093
0.75,0.14112,0.14127344
0.76,0.101418026,0.101760894
0.77,0.061553795,0.06208621
0.78,0.02159109,0.022312872
0.79,-0.018406393,-0.017495725
0.8,-0.058374193,-0.057275437
0.81,-0.0982486,-0.09696285
0.82,-0.13796584,-0.13649449
0.83,-0.17746235,-0.1758071
0.84,-0.21667475,-0.2148376
0.85,-0.2555412,-0.25352442
0.86,-0.29399836,-0.29180455
0.87,-0.3319852,-0.32961723
0.88,-0.36944115,-0.36690217
0.89,-0.40630564,-0.40359905
0.9,-0.44252035,-0.43964988
0.91,-0.47802734,-0.47499695
0.92,-0.51276934,-0.50958323
0.93,-0.5466909,-0.54335356
0.94,-0.5797382,-0.57625437
0.95,-0.61185783,-0.60823244
0.96,-0.6429987,-0.6392369
0.97,-0.6731112,-0.6692185
0.98,-0.70214635,-0.6981283
0.99,-0.7300584,-0.7259208
1,-0.7568025,-0.7525514
1.01,-0.7823359,-0.77797747
1.02,-0.8066177,-0.80215836
1.03,-0.8296091,-0.8250554
1.04,-0.8512733,-0.84663194
1.05,-0.87157565,-0.8668535
1.06,-0.8904837,-0.8856876
1.07,-0.9079673,-0.9031045
1.08,-0.92399824,-0.91907585
1.09,-0.9385509,-0.9335762
1.1,-0.9516021,-0.94658256
1.11,-0.96313095,-0.958074
1.12,-0.97311896,-0.9680321
1.13,-0.9815503,-0.9764411
1.14,-0.98841125,-0.98328733
1.15,-0.99369097,-0.98856
1.16,-0.99738103,-0.9922507
1.17,-0.99947554,-0.9943534
