t,input,output
0.01,1,0.30267748
0.02,1,0.40790322
0.03,1,0.5132407
0.04,1,0.5977812
0.05,1,0.6678396
0.06,1,0.7256063
0.07,1,0.7732756
0.08,1,0.81260824
0.09,1,0.8450633
0.1,1,0.8718439
0.11,1,0.8939426
0.12,1,0.91217846
0.13,1,0.9272272
0.14,1,0.9396463
0.15,1,0.94989586
0.16,1,0.9583553
0.17,1,0.9653378
0.18,1,0.9711017
0.19,1,0.9758601
0.2,1,0.97978896
0.21,1,0.98303336
0.22,1,0.98571295
0.23,1,0.98792654
0.24,1,0.98975563
0.25,1,0.9912675
0.26,1,0.99251753
0.27,1,0.99355155
0.28,1,0.99440736
0.29,1,0.99511606
0.3,1,0.99570334
0.31,1,0.9961905
0.32,1,0.9965949
0.33,1,0.99693114
0.34,1,0.99721104
0.35,1,0.9974444
0.36,1,0.9976394
0.37,1,0.99780273
0.38,1,0.9979399
0.39,1,0.9980554
0.4,1,0.99815303
0.41,1,0.99823594
0.42,1,0.99830663
0.43,1,0.99836725
0.44,1,0.9984195
0.45,1,0.9984649
0.46,1,0.9985045
0.47,1,0.99853945
0.48,1,0.99857044
0.49,1,0.99859816
0.5,1,0.9986232
0.51,1,0.99864596
0.52,1,0.9986668
0.53,1,0.9986861
0.54,1,0.998704
0.55,1,0.9987209
0.56,1,0.9987368
0.57,1,0.99875194
0.58,1,0.9987664
0.59,1,0.9987803
0.6,1,0.9987937
0.61,1,0.9988067
0.62,1,0.9988193
0.63,1,0.99883157
0.64,1,0.99884355
0.65,1,0.9988553
0.66,1,0.9988668
0.67,1,0.9988781
0.68,1,0.99888927
0.69,1,0.99890023
0.7,1,0.998911
0.71,1,0.9989217
0.72,1,0.99893224
0.73,1,0.9989426
0.74,1,0.99895287
0.75,1,0.998963
0.76,1,0.998973
0.77,1,0.99898297
0.78,1,0.9989928
0.79,1,0.9990025
0.8,1,0.9990121
0.81,1,0.99902165
0.82,1,0.99903107
0.83,1,0.99904037
0.84,1,0.9990496
0.85,1,0.9990587
0.86,1,0.9990678
0.87,1,0.9990767
0.88,1,0.9990856
0.89,1,0.9990944
0.9,1,0.9991031
0.91,1,0.9991118
0.92,1,0.9991203
0.93,1,0.99912876
0.94,1,0.9991371
0.95,1,0.9991454
0.96,1,0.9991536
0.97,1,0.9991617
0.98,1,0.99916977
0.99,1,0.99917775
1,1,0.9991856
1.01,1,0.99919343
1.02,1,0.9992012
1.03,1,0.99920887
1.04,1,0.99921644
1.05,1,0.99922395
1.06,1,0.9992314
1.07,1,0.9992388
1.08,1,0.9992461
1.09,1,0.99925333
1.1,1,0.9992605
1.11,1,0.9992676
1.12,1,0.9992746
1.13,1,0.9992816
1.14,1,0.9992885
1.15,1,0.99929535
1.16,1,0.9993021
1.17,1,0.9993088
1.1800001,1,0.99931544
1.19,1,0.999322
1.2,1,0.9993285
1.21,1,0.99933493
1.22,1,0.9993413
1.23,1,0.9993476
1.24,1,0.9993539
1.25,1,0.9993601
1.26,1,0.9993662
1.27,1,0.9993723
1.28,1,0.9993783
1.29,1,0.9993843
1.3,1,0.99939024
1.31,1,0.9993961
1.3199999,1,0.9994019
1.33,1,0.99940765
1.34,1,0.9994134
1.35,1,0.999419
1.36,1,0.9994246
1.37,1,0.9994301
1.38,1,0.9994356
1.39,1,0.999441
1.4,1,0.9994464
1.41,1,0.9994517
1.42,1,0.99945694
1.4300001,1,0.9994622
1.44,1,0.9994673
1.45,1,0.99947244
1.46,1,0.9994775
1.47,1,0.9994825
1.48,1,0.99948746
1.49,1,0.9994924
1.5,1,0.9994973
1.51,1,0.9995021
1.52,1,0.9995069
1.53,1,0.9995116
1.54,1,0.9995163
1.55,1,0.99952096
1.56,1,0.99952555
1.5699999,1,0.9995301
1.5799999,1,0.9995346
1.5899999,1,0.9995391
1.6,1,0.9995435
1.61,1,0.9995479
1.62,1,0.99955225
1.63,1,0.99955654
1.64,1,0.9995608
1.65,1,0.999565
1.6600001,1,0.9995692
1.6700001,1,0.9995733
1.6800001,1,0.9995774
1.69,1,0.99958146
1.7,1,0.99958545
1.71,1,0.99958944
1.72,1,0.9995934
1.73,1,0.9995973
1.74,1,0.9996012
1.75,1,0.999605
1.76,1,0.9996088
1.77,1,0.99961257
1.78,1,0.99961627
1.79,1,0.99961996
1.8,1,0.9996236
1.81,1,0.99962723
1.8199999,1,0.9996308
1.8299999,1,0.9996343
1.8399999,1,0.99963784
1.85,1,0.9996413
1.86,1,0.99964476
1.87,1,0.99964815
1.88,1,0.99965155
1.89,1,0.9996549
1.9,1,0.9996582
1.9100001,1,0.9996615
1.9200001,1,0.9996648
1.9300001,1,0.999668
1.94,1,0.99967116
1.95,1,0.9996743
1.96,1,0.9996774
1.97,1,0.9996805
1.98,1,0.9996836
1.99,1,0.99968666
2,1,0.99968964
2.01,1,0.9996926
2.02,1,0.9996956
2.03,1,0.9996985
2.04,1,0.99970144
2.05,1,0.9997043
2.06,1,0.99970716
2.07,1,0.99970996
2.08,1,0.99971277
2.09,1,0.9997155
2.1,1,0.99971825
2.11,1,0.99972093
2.12,1,0.9997236
2.13,1,0.99972624
2.14,1,0.99972886
2.15,1,0.9997315
2.16,1,0.99973404
2.17,1,0.9997366
2.18,1,0.9997391
2.19,1,0.9997416
2.2,1,0.9997441
2.21,1,0.99974656
2.22,1,0.999749
2.23,1,0.9997514
2.24,1,0.9997538
2.25,1,0.99975616
2.26,1,0.9997585
2.27,1,0.9997608
2.28,1,0.99976313
2.29,1,0.9997654
2.3,1,0.99976766
2.31,1,0.99976987
2.32,1,0.9997721
2.33,1,0.9997743
2.34,1,0.9997764
2.35,1,0.99977857
2.3600001,1,0.9997807
2.37,1,0.9997828
2.38,1,0.9997849
2.3899999,1,0.999787
2.4,1,0.999789
2.41,1,0.999791
2.42,1,0.99979305
2.43,1,0.999795
2.44,1,0.999797
2.45,1,0.99979895
2.46,1,0.99980086
2.47,1,0.99980277
2.48,1,0.9998047
2.49,1,0.9998065
2.5,1,0.9998084
2.51,1,0.9998102
2.52,1,0.99981207
2.53,1,0.99981385
2.54,1,0.99981564
2.55,1,0.99981743
2.56,1,0.99981916
2.57,1,0.9998209
2.58,1,0.9998226
2.59,1,0.99982435
2.6,1,0.999826
2.6100001,1,0.9998277
2.62,1,0.99982935
2.63,1,0.999831
2.6399999,1,0.99983263
2.65,1,0.99983424
2.66,1,0.99983585
2.67,1,0.9998374
2.68,1,0.99983895
2.69,1,0.9998405
2.7,1,0.99984205
2.71,1,0.99984354
2.72,1,0.999845
2.73,1,0.9998465
2.74,1,0.999848
2.75,1,0.99984944
2.76,1,0.99985087
2.77,1,0.9998523
2.78,1,0.99985373
2.79,1,0.99985516
2.8,1,0.99985653
2.81,1,0.9998579
2.82,1,0.9998593
2.83,1,0.99986064
2.84,1,0.99986196
2.85,1,0.99986327
2.8600001,1,0.9998646
2.87,1,0.9998659
2.88,1,0.9998672
2.8899999,1,0.99986845
2.9,1,0.9998697
2.91,1,0.99987096
2.92,1,0.9998722
2.93,1,0.99987346
2.94,1,0.99987465
2.95,1,0.99987584
2.96,1,0.99987704
2.97,1,0.9998782
2.98,1,0.9998794
2.99,1,0.99988055
3,1,0.9998817
3.01,1,0.9998828
3.02,1,0.99988395
3.03,1,0.9998851
3.04,1,0.9998862
3.05,1,0.9998873
3.06,1,0.99988836
3.07,1,0.99988943
3.08,1,0.9998905
3.09,1,0.9998916
3.1,1,0.9998926
3.11,1,0.9998936
3.12,1,0.9998946
3.13,1,0.99989563
3.14,1,0.99989665
3.15,1,0.99989766
3.16,1,0.9998987
3.17,1,0.9998996
3.18,1,0.9999006
3.19,1,0.99990153
3.2,1,0.9999025
3.21,1,0.99990344
3.22,1,0.9999044
3.23,1,0.9999053
3.24,1,0.9999062
3.25,1,0.9999071
3.26,1,0.999908
3.27,1,0.99990886
3.28,1,0.99990976
3.29,1,0.9999106
3.3,1,0.9999115
3.31,1,0.9999123
3.32,1,0.99991316
3.33,1,0.999914
3.34,1,0.9999148
3.35,1,0.99991566
3.3600001,1,0.99991643
3.37,1,0.99991727
3.38,1,0.99991804
3.3899999,1,0.9999188
3.4,1,0.9999196
3.41,1,0.99992037
3.42,1,0.99992114
3.43,1,0.9999219
3.44,1,0.9999227
3.45,1,0.9999234
3.46,1,0.9999241
3.47,1,0.99992484
3.48,1,0.99992555
3.49,1,0.99992627
3.5,1,0.999927
3.51,1,0.9999277
3.52,1,0.9999284
3.53,1,0.9999291
3.54,1,0.9999298
3.55,1,0.99993044
3.56,1,0.9999311
3.57,1,0.99993175
3.58,1,0.9999324
3.59,1,0.99993306
3.6,1,0.9999337
3.6100001,1,0.9999344
3.62,1,0.99993503
3.63,1,0.9999356
3.6399999,1,0.9999362
3.65,1,0.9999368
3.66,1,0.9999374
3.67,1,0.999938
3.68,1,0.9999386
3.69,1,0.9999392
3.7,1,0.9999398
3.71,1,0.9999404
3.72,1,0.999941
3.73,1,0.9999415
3.74,1,0.9999421
3.75,1,0.99994266
3.76,1,0.9999432
3.77,1,0.99994373
3.78,1,0.99994427
3.79,1,0.9999448
3.8,1,0.99994534
3.81,1,0.9999459
3.82,1,0.9999464
3.83,1,0.99994695
3.84,1,0.9999474
3.85,1,0.9999479
3.8600001,1,0.9999484
3.87,1,0.99994886
3.88,1,0.99994934
3.8899999,1,0.9999498
3.9,1,0.9999503
3.91,1,0.99995077
3.92,1,0.99995124
3.93,1,0.9999517
3.94,1,0.9999522
3.95,1,0.9999527
3.96,1,0.99995315
3.97,1,0.9999536
3.98,1,0.99995404
3.99,1,0.9999545
4,1,0.99995494
4.01,1,0.99995536
4.02,1,0.9999558
4.03,1,0.9999562
4.04,1,0.9999566
4.05,1,0.999957
4.06,1,0.99995744
4.07,1,0.99995786
4.08,1,0.9999583
4.09,1,0.9999587
4.1,1,0.9999591
4.11,1,0.99995947
4.12,1,0.9999599
4.13,1,0.99996024
4.14,1,0.99996066
4.15,1,0.999961
4.16,1,0.9999614
4.17,1,0.99996173
4.18,1,0.9999621
4.19,1,0.99996245
4.2,1,0.9999628
4.21,1,0.99996316
4.22,1,0.9999635
4.23,1,0.9999639
4.24,1,0.99996424
4.25,1,0.9999646
4.26,1,0.99996495
4.27,1,0.9999653
4.28,1,0.9999656
4.29,1,0.99996597
4.3,1,0.99996626
4.31,1,0.9999666
4.32,1,0.9999669
4.33,1,0.9999672
4.34,1,0.9999675
4.35,1,0.9999678
4.36,1,0.9999681
4.37,1,0.9999684
4.38,1,0.9999687
4.39,1,0.999969
4.4,1,0.9999693
4.41,1,0.9999696
4.42,1,0.9999699
4.43,1,0.9999702
4.44,1,0.9999705
4.45,1,0.9999708
4.46,1,0.9999711
4.47,1,0.9999714
4.48,1,0.9999717
4.49,1,0.9999719
4.5,1,0.9999722
4.51,1,0.99997246
4.52,1,0.99997276
4.5299997,1,0.999973
4.54,1,0.99997324
4.55,1,0.9999735
4.56,1,0.9999737
4.57,1,0.99997395
4.58,1,0.9999742
4.59,1,0.9999744
4.6,1,0.99997467
4.61,1,0.9999749
4.62,1,0.99997514
4.63,1,0.9999754
4.64,1,0.9999756
4.65,1,0.99997586
4.66,1,0.9999761
4.67,1,0.99997634
4.68,1,0.9999766
4.69,1,0.9999768
4.7,1,0.99997705
4.71,1,0.9999773
4.7200003,1,0.9999775
4.73,1,0.99997777
4.74,1,0.99997795
4.75,1,0.9999782
4.76,1,0.99997836
4.77,1,0.9999786
4.7799997,1,0.9999788
4.79,1,0.999979
4.8,1,0.9999792
4.81,1,0.9999794
4.82,1,0.99997956
4.83,1,0.99997973
4.84,1,0.9999799
4.85,1,0.99998015
4.86,1,0.99998033
4.87,1,0.9999805
4.88,1,0.9999807
4.89,1,0.99998087
4.9,1,0.99998105
4.91,1,0.9999812
4.92,1,0.9999814
4.93,1,0.9999816
4.94,1,0.99998176
4.95,1,0.99998194
4.96,1,0.9999821
4.9700003,1,0.9999823
4.98,1,0.9999825
4.99,1,0.99998266
5,1,0.99998283
5.01,1,0.999983
5.02,1,0.9999832
5.03,1,0.9999834
5.04,1,0.99998355
5.05,1,0.99998367
5.06,1,0.99998385
5.07,1,0.99998397
5.08,1,0.99998415
5.09,1,0.99998426
5.1,1,0.99998444
5.11,1,0.99998456
5.12,1,0.99998474
5.13,1,0.99998486
5.14,1,0.99998504
5.15,1,0.99998516
5.16,1,0.9999853
5.17,1,0.99998546
5.18,1,0.9999856
5.19,1,0.9999857
5.2,1,0.9999858
5.21,1,0.99998593
5.22,1,0.9999861
5.23,1,0.99998623
5.24,1,0.99998635
5.25,1,0.99998647
5.26,1,0.9999866
5.27,1,0.9999867
5.28,1,0.9999868
5.29,1,0.99998695
5.3,1,0.99998707
5.31,1,0.9999872
5.32,1,0.9999873
5.33,1,0.9999874
5.34,1,0.99998754
5.35,1,0.99998766
5.36,1,0.9999878
5.37,1,0.9999879
5.38,1,0.999988
5.39,1,0.99998814
5.4,1,0.99998826
5.41,1,0.9999884
5.42,1,0.9999885
5.43,1,0.9999886
5.44,1,0.99998873
5.45,1,0.99998885
5.46,1,0.999989
5.47,1,0.9999891
5.48,1,0.9999892
5.49,1,0.99998933
5.5,1,0.99998945
5.51,1,0.99998957
5.52,1,0.9999897
5.5299997,1,0.99998975
5.54,1,0.99998987
5.55,1,0.99999
5.56,1,0.99999005
5.57,1,0.99999017
5.58,1,0.9999902
5.59,1,0.99999034
5.6,1,0.9999904
5.61,1,0.9999905
5.62,1,0.9999906
5.63,1,0.9999907
5.64,1,0.99999076
5.65,1,0.9999909
5.66,1,0.99999094
5.67,1,0.99999106
5.68,1,0.9999911
5.69,1,0.9999912
5.7,1,0.9999913
5.71,1,0.99999136
5.7200003,1,0.9999914
5.73,1,0.99999154
5.74,1,0.9999916
5.75,1,0.99999166
5.76,1,0.9999918
5.77,1,0.99999183
5.7799997,1,0.9999919
5.79,1,0.99999195
5.8,1,0.9999921
5.81,1,0.99999213
5.82,1,0.9999922
5.83,1,0.99999225
5.84,1,0.9999924
5.85,1,0.99999243
5.86,1,0.9999925
5.87,1,0.99999255
5.88,1,0.9999926
5.89,1,0.99999267
5.9,1,0.9999927
5.91,1,0.99999285
5.92,1,0.9999929
5.93,1,0.99999297
5.94,1,0.999993
5.95,1,0.9999931
5.96,1,0.99999315
5.9700003,1,0.9999932
5.98,1,0.99999326
5.99,1,0.9999933
6,1,0.9999934
