t,input,output
0.01,0.0063661975,0.006346846
0.02,0.012732395,0.012579777
0.03,0.019098593,0.018931177
0.04,0.02546479,0.025280649
0.05,0.03183099,0.031632442
0.06,0.038197186,0.037984308
0.07,0.044563383,0.044336326
0.08,0.05092958,0.050688453
0.09,0.05729578,0.05704069
0.1,0.06366198,0.063393034
0.11,0.07002817,0.06974548
0.12,0.07639437,0.07609804
0.13,0.082760565,0.082450695
0.14,0.089126766,0.08880347
0.15,0.09549297,0.09515634
0.16,0.10185916,0.10150931
0.17,0.10822536,0.10786238
0.18,0.11459156,0.11421556
0.19,0.120957755,0.120568834
0.2,0.12732396,0.12692222
0.21,0.13369015,0.13327569
0.22,0.14005634,0.13962926
0.23,0.14642255,0.14598294
0.24,0.15278874,0.1523367
0.25,0.15915494,0.15869056
0.26,0.16552113,0.1650445
0.27,0.17188734,0.17139857
0.28,0.17825353,0.17775272
0.29,0.18461972,0.18410695
0.3,0.19098593,0.1904613
0.31,0.19735213,0.19681571
0.32,0.20371832,0.20317021
0.33,0.21008453,0.20952483
0.34,0.21645072,0.21587951
0.35,0.22281691,0.2222343
0.36,0.22918312,0.22858918
0.37,0.23554932,0.23494413
0.38,0.24191551,0.24129917
0.39,0.2482817,0.24765429
0.4,0.2546479,0.25400952
0.41,0.2610141,0.26036483
0.42,0.2673803,0.2667202
0.43,0.2737465,0.27307567
0.44,0.28011268,0.2794312
0.45,0.28647888,0.28578684
0.46,0.2928451,0.29214257
0.47,0.2992113,0.29849836
0.48,0.3055775,0.30485424
0.49,0.31194368,0.3112102
0.5,0.31830987,0.31756622
0.51,0.32467607,0.3239223
0.52,0.33104226,0.33027852
0.53,0.33740845,0.33663476
0.54,0.34377468,0.34299114
0.55,0.35014087,0.34934756
0.56,0.35650706,0.35570404
0.57,0.36287326,0.3620606
0.58,0.36923945,0.36841723
0.59,0.37560564,0.37477395
0.6,0.38197187,0.38113078
0.61,0.38833806,0.38748762
0.62,0.39470425,0.39384457
0.63,0.40107045,0.40020156
0.64,0.40743664,0.40655863
0.65,0.41380283,0.4129158
0.66,0.42016906,0.41927302
0.67,0.42653525,0.4256303
0.68,0.43290144,0.43198767
0.69,0.43926764,0.43834507
0.7,0.44563383,0.44470257
0.71,0.45200002,0.45106012
0.72,0.45836625,0.4574178
0.73,0.46473244,0.46377546
0.74,0.47109863,0.47013322
0.75,0.47746482,0.47649103
0.76,0.48383102,0.4828489
0.77,0.4901972,0.48920685
0.78,0.4965634,0.49556488
0.79,0.5029296,0.50192297
0.8,0.5092958,0.5082811
0.81,0.515662,0.5146393
0.82,0.5220282,0.5209976
0.83,0.5283944,0.5273559
0.84,0.5347606,0.5337143
0.85,0.5411268,0.54007274
0.86,0.547493,0.54643124
0.87,0.5538592,0.55278975
0.88,0.56022537,0.5591484
0.89,0.56659156,0.56550705
0.9,0.57295775,0.5718658
0.91,0.579324,0.57822466
0.92,0.5856902,0.5845835
0.93,0.5920564,0.59094244
0.94,0.5984226,0.59730136
0.95,0.6047888,0.6036604
0.96,0.611155,0.6100195
0.97,0.61752117,0.6163786
0.98,0.62388736,0.6227378
0.99,0.63025355,0.62909704
1,0.63661975,0.6354563
1.01,0.64298594,0.64181566
1.02,0.64935213,0.64817506
1.03,0.6557183,0.6545345
1.04,0.6620845,0.66089404
1.05,0.6684507,0.66725355
1.06,0.6748169,0.6736132
1.07,0.68118316,0.6799729
1.08,0.68754935,0.6863326
1.09,0.69391555,0.69269234
1.1,0.70028174,0.69905216
1.11,0.70664793,0.70541203
1.12,0.7130141,0.7117719
1.13,0.7193803,0.7181319
1.14,0.7257465,0.7244919
1.15,0.7321127,0.73085195
1.16,0.7384789,0.737212
1.17,0.7448451,0.7435722
1.1800001,0.75121135,0.7499324
1.19,0.75757754,0.75629264
1.2,0.76394373,0.76265293
1.21,0.7703099,0.7690133
1.22,0.7766761,0.77537364
1.23,0.7830423,0.78173405
1.24,0.7894085,0.7880945
1.25,0.7957747,0.794455
1.26,0.8021409,0.8008156
1.27,0.8085071,0.8071762
1.28,0.8148733,0.8135368
1.29,0.8212395,0.8198975
1.3,0.82760566,0.8262582
1.31,0.83397186,0.83261895
1.3199999,0.84033805,0.8389798
1.33,0.8467043,0.84534067
1.34,0.8530705,0.85170156
1.35,0.8594367,0.8580625
1.36,0.8658029,0.86442345
1.37,0.8721691,0.87078446
1.38,0.8785353,0.8771455
1.39,0.88490146,0.8835066
1.4,0.89126766,0.8898677
1.41,0.89763385,0.8962289
1.42,0.90400004,0.90259016
1.4300001,0.9103663,0.90895146
1.44,0.9167325,0.9153127
1.45,0.9230987,0.921674
1.46,0.9294649,0.9280354
1.47,0.93583107,0.9343968
1.48,0.94219726,0.9407582
1.49,0.94856346,0.9471197
1.5,0.95492965,0.9534812
1.51,0.96129584,0.95984274
1.52,0.96766204,0.96620435
1.53,0.9740282,0.97256595
1.54,0.9803944,0.9789276
1.55,0.9867606,0.9852893
1.56,0.9931268,0.991651
1.5699999,0.99949294,0.9980127
1.5799999,0.0058591636,0.007414162
1.5899999,0.012225355,0.03166977
1.6,0.018591622,0.019422837
1.61,0.024957813,0.026087277
1.62,0.031324007,0.032084923
1.63,0.037690196,0.038435142
1.64,0.04405639,0.044773355
1.65,0.05042258,0.051118292
1.6600001,0.056788847,0.057463255
1.6700001,0.06315504,0.063808426
1.6800001,0.06952123,0.07015376
1.69,0.07588742,0.076499246
1.7,0.08225361,0.0828449
1.71,0.088619806,0.08919071
1.72,0.094986,0.09553668
1.73,0.101352185,0.10188279
1.74,0.10771838,0.10822907
1.75,0.11408457,0.114575505
1.76,0.120450765,0.12092209
1.77,0.12681696,0.12726882
1.78,0.13318315,0.13361572
1.79,0.13954933,0.13996273
1.8,0.14591552,0.14630991
1.81,0.15228172,0.15265724
1.8199999,0.15864791,0.15900472
1.8299999,0.1650141,0.16535234
1.8399999,0.1713803,0.1717001
1.85,0.17774656,0.17804809
1.86,0.18411276,0.18439613
1.87,0.19047895,0.19074433
1.88,0.19684513,0.19709262
1.89,0.20321132,0.2034411
1.9,0.20957752,0.2097897
1.9100001,0.21594378,0.2161385
1.9200001,0.22230998,0.22248738
1.9300001,0.22867617,0.22883637
1.94,0.23504236,0.23518552
1.95,0.24140856,0.24153478
1.96,0.24777475,0.24788418
1.97,0.25414094,0.25423372
1.98,0.26050714,0.26058337
1.99,0.26687333,0.26693314
2,0.27323952,0.27328306
2.01,0.2796057,0.27963307
2.02,0.28597188,0.28598323
2.03,0.29233807,0.2923335
2.04,0.29870427,0.2986839
2.05,0.30507046,0.30503446
2.06,0.31143665,0.3113851
2.07,0.31780285,0.31773585
2.08,0.32416904,0.32408676
2.09,0.33053523,0.33043775
2.1,0.33690143,0.3367889
2.11,0.34326762,0.34314013
2.12,0.3496338,0.34949148
2.13,0.35600016,0.3558431
2.14,0.36236635,0.3621947
2.15,0.36873254,0.36854637
2.16,0.37509874,0.3748982
2.17,0.38146493,0.3812501
2.18,0.38783112,0.38760212
2.19,0.3941973,0.39395425
2.2,0.40056348,0.4003065
2.21,0.40692967,0.40665883
2.22,0.41329587,0.4130113
2.23,0.41966206,0.41936386
2.24,0.42602825,0.42571655
2.25,0.43239444,0.4320693
2.26,0.43876064,0.4384222
2.27,0.44512683,0.44477516
2.28,0.45149302,0.45112827
2.29,0.45785922,0.45748144
2.3,0.4642254,0.46383473
2.31,0.4705916,0.4701881
2.32,0.4769578,0.4765416
2.33,0.483324,0.48289517
2.34,0.48969018,0.48924887
2.35,0.49605635,0.4956026
2.3600001,0.5024227,0.50195664
2.37,0.50878876,0.5083105
2.38,0.5151551,0.51466465
2.3899999,0.52152115,0.5210187
2.4,0.52788746,0.5273731
2.41,0.53425366,0.5337274
2.42,0.54061985,0.5400818
2.43,0.54698604,0.54643637
2.44,0.55335224,0.55279094
2.45,0.55971843,0.5591457
2.46,0.5660846,0.56550044
2.47,0.5724508,0.5718553
2.48,0.578817,0.5782103
2.49,0.5851832,0.58456534
2.5,0.5915494,0.5909205
2.51,0.5979156,0.5972757
2.52,0.6042818,0.603631
2.53,0.610648,0.6099864
2.54,0.61701417,0.6163419
2.55,0.62338036,0.6226974
2.56,0.62974656,0.62905306
2.57,0.63611275,0.6354088
2.58,0.64247894,0.6417646
2.59,0.64884514,0.64812046
2.6,0.6552113,0.65447646
2.6100001,0.66157764,0.6608326
2.62,0.66794366,0.6671885
2.63,0.67431,0.6735449
2.6399999,0.68067604,0.679901
2.65,0.6870424,0.68625754
2.66,0.6934086,0.69261396
2.67,0.6997748,0.69897044
2.68,0.706141,0.70532703
2.69,0.7125072,0.7116837
2.7,0.7188734,0.7180404
2.71,0.7252396,0.7243972
2.72,0.73160577,0.7307541
2.73,0.73797196,0.73711103
2.74,0.74433815,0.74346805
2.75,0.75070435,0.7498251
2.76,0.75707054,0.75618225
2.77,0.76343673,0.7625395
2.78,0.7698029,0.76889676
2.79,0.77616906,0.7752541
2.8,0.78253525,0.7816115
2.81,0.78890145,0.787969
2.82,0.79526764,0.79432654
2.83,0.80163383,0.8006842
2.84,0.808,0.8070419
2.85,0.8143662,0.8133997
2.8600001,0.8207326,0.81975764
2.87,0.8270986,0.82611537
2.88,0.833465,0.8324735
2.8899999,0.839831,0.83883137
2.9,0.84619737,0.84518963
2.91,0.85256356,0.8515477
2.92,0.85892975,0.857906
2.93,0.86529595,0.86426425
2.94,0.87166214,0.8706226
2.95,0.87802833,0.87698096
2.96,0.8843945,0.8833394
2.97,0.89076066,0.88969785
2.98,0.89712685,0.8960564
2.99,0.90349305,0.90241504
3,0.90985924,0.9087737
3.01,0.91622543,0.91513246
3.02,0.9225916,0.92149127
3.03,0.9289578,0.9278501
3.04,0.935324,0.93420905
3.05,0.9416902,0.94056803
3.06,0.9480564,0.9469271
3.07,0.9544226,0.9532861
3.08,0.9607888,0.9596453
3.09,0.967155,0.96600443
3.1,0.9735212,0.9723637
3.11,0.97988737,0.978723
3.12,0.98625356,0.9850823
3.13,0.99261993,0.99144197
3.14,0.9989861,0.99780136
3.15,0.005352288,0.0072004795
3.16,0.011718479,0.031453863
3.17,0.018084671,0.019204613
3.18,0.024450863,0.025866829
3.19,0.030817054,0.031862263
3.2,0.037183244,0.03821029
3.21,0.043549437,0.044546325
3.22,0.049915627,0.05088911
3.23,0.05628182,0.05723185
3.24,0.06264801,0.063574895
3.25,0.0690142,0.06991811
3.26,0.07538039,0.07626151
3.27,0.081746586,0.082605086
3.28,0.08811278,0.08894884
3.29,0.094478965,0.095292754
3.3,0.10084516,0.10163685
3.31,0.10721135,0.107981116
3.32,0.113577545,0.11432555
3.33,0.11994374,0.120670155
3.34,0.12630993,0.12701492
3.35,0.13267612,0.13335985
3.3600001,0.13904247,0.1397051
3.37,0.1454085,0.1460502
3.38,0.15177484,0.15239577
3.3899999,0.15814088,0.1587412
3.4,0.16450723,0.1650871
3.41,0.17087342,0.17143299
3.42,0.17723961,0.17777905
3.43,0.1836058,0.18412526
3.44,0.189972,0.19047163
3.45,0.19633818,0.19681813
3.46,0.20270437,0.2031648
3.47,0.20907056,0.20951162
3.48,0.21543676,0.2158586
3.49,0.22180295,0.22220571
3.5,0.22816914,0.22855298
3.51,0.23453534,0.23490039
3.52,0.24090153,0.24124795
3.53,0.24726772,0.24759564
3.54,0.25363392,0.2539435
3.55,0.2600001,0.26029146
3.56,0.2663663,0.2666396
3.57,0.2727325,0.27298787
3.58,0.27909866,0.27933624
3.59,0.28546485,0.28568476
3.6,0.29183105,0.29203343
3.6100001,0.2981974,0.2983824
3.62,0.30456343,0.3047312
3.63,0.31092978,0.31108043
3.6399999,0.31729582,0.31742948
3.65,0.32366216,0.323779
3.66,0.33002836,0.33012846
3.67,0.33639455,0.33647805
3.68,0.34276074,0.34282777
3.69,0.34912694,0.34917763
3.7,0.35549313,0.3555276
3.71,0.36185932,0.3618777
3.72,0.3682255,0.36822796
3.73,0.3745917,0.3745783
3.74,0.3809579,0.38092878
3.75,0.3873241,0.3872794
3.76,0.39369026,0.39363006
3.77,0.40005645,0.3999809
3.78,0.40642264,0.40633187
3.79,0.41278884,0.41268292
3.8,0.41915503,0.41903412
3.81,0.42552122,0.42538542
3.82,0.43188742,0.43173683
3.83,0.4382536,0.43808836
3.84,0.4446198,0.44444
3.85,0.450986,0.45079178
3.8600001,0.45735234,0.45714378
3.87,0.46371838,0.4634956
3.88,0.47008473,0.46984786
3.8899999,0.47645077,0.47619992
3.9,0.4828171,0.48255238
3.91,0.4891833,0.48890477
3.92,0.4955495,0.49525732
3.93,0.5019157,0.5016099
3.94,0.5082819,0.50796264
3.95,0.5146481,0.5143155
3.96,0.5210143,0.52066845
3.97,0.52738047,0.52702147
3.98,0.53374666,0.5333746
3.99,0.54011285,0.53972787
4,0.54647905,0.5460812
4.01,0.55284536,0.55243474
4.02,0.5592114,0.5587881
4.03,0.56557775,0.5651419
4.04,0.57194376,0.5714955
4.05,0.57831013,0.5778495
4.06,0.58467615,0.58420324
4.07,0.5910425,0.59055746
4.08,0.59740853,0.5969114
4.09,0.6037749,0.60326576
4.1,0.6101409,0.60961986
4.11,0.6165073,0.6159744
4.12,0.6228733,0.62232876
4.13,0.6292397,0.6286835
4.14,0.6356057,0.63503796
4.15,0.64197206,0.6413929
4.16,0.6483381,0.6477476
4.17,0.65470445,0.6541027
4.18,0.66107047,0.6604575
4.19,0.66743684,0.6668128
4.2,0.67380285,0.67316777
4.21,0.68016917,0.67952317
4.22,0.68653524,0.6858784
4.23,0.69290155,0.692234
4.24,0.6992676,0.6985894
4.25,0.70563394,0.7049451
4.26,0.7120003,0.71130097
4.27,0.7183663,0.71765655
4.28,0.7247327,0.72401255
4.29,0.7310987,0.7303683
4.3,0.7374651,0.7367245
4.31,0.7438311,0.74308044
4.32,0.75019747,0.74943674
4.33,0.7565635,0.7557928
4.34,0.76292986,0.76214933
4.35,0.7692959,0.7685055
4.36,0.77566224,0.7748622
4.37,0.78202826,0.7812185
4.38,0.7883946,0.78757524
4.39,0.79476064,0.79393184
4.4,0.80112696,0.80028874
4.41,0.80749303,0.80664545
4.42,0.81385934,0.81300247
4.43,0.8202254,0.8193593
4.44,0.82659173,0.8257165
4.45,0.8329578,0.8320735
4.46,0.8393241,0.8384308
4.47,0.8456902,0.84478796
4.48,0.8520565,0.8511454
4.49,0.8584226,0.8575027
4.5,0.8647889,0.86386025
4.51,0.87115526,0.870218
4.52,0.8775213,0.8765754
4.5299997,0.8838873,0.8829329
4.54,0.89025366,0.8892908
4.55,0.89662,0.8956487
4.56,0.90298605,0.90200645
4.57,0.90935236,0.90836453
4.58,0.91571844,0.9147224
4.59,0.92208475,0.9210806
4.6,0.9284508,0.92743856
4.61,0.93481714,0.9337969
4.62,0.9411832,0.94015497
4.63,0.9475495,0.9465134
4.64,0.9539156,0.9528716
4.65,0.9602819,0.9592302
4.66,0.966648,0.96558857
4.67,0.9730143,0.9719472
4.68,0.97938037,0.9783057
4.69,0.9857467,0.9846645
4.7,0.9921127,0.991023
4.71,0.99847907,0.997382
4.7200003,0.004845412,0.006780565
4.73,0.011211452,0.031033123
4.74,0.017577492,0.018783059
4.75,0.023943834,0.025444767
4.76,0.030310178,0.03143969
4.77,0.036676217,0.03778692
4.7799997,0.043042257,0.04412216
4.79,0.0494086,0.050464455
4.8,0.055774942,0.056806706
4.81,0.062140983,0.06314897
4.82,0.06850733,0.06949172
4.83,0.074873365,0.07583434
4.84,0.08123971,0.08217745
4.85,0.08760575,0.08852044
4.86,0.093972094,0.094863914
4.87,0.10033813,0.10120724
4.88,0.10670447,0.10755107
4.89,0.11307052,0.11389475
4.9,0.11943686,0.12023892
4.91,0.1258029,0.12658295
4.92,0.13216925,0.13292746
4.93,0.13853528,0.13927183
4.94,0.14490162,0.14561667
4.95,0.15126766,0.15196137
4.96,0.157634,0.15830654
4.9700003,0.16400035,0.16465187
4.98,0.17036639,0.17099707
4.99,0.17673244,0.17734243
5,0.18309878,0.18368825
5.01,0.18946512,0.19003421
5.02,0.19583115,0.19638003
5.03,0.20219749,0.20272633
5.04,0.20856354,0.20907247
5.05,0.21492988,0.21541907
5.06,0.22129592,0.22176552
5.07,0.22766227,0.22811241
5.08,0.23402831,0.23445916
5.09,0.24039465,0.24080637
5.1,0.24676068,0.2471534
5.11,0.25312704,0.2535009
5.12,0.25949308,0.25984824
5.13,0.26585943,0.266196
5.14,0.27222544,0.2725436
5.15,0.2785918,0.2788917
5.16,0.28495783,0.2852396
5.17,0.29132417,0.29158795
5.18,0.2976902,0.29793614
5.19,0.30405656,0.30428475
5.2,0.3104226,0.3106332
5.21,0.31678894,0.31698212
5.22,0.323155,0.32333085
5.23,0.32952133,0.32968003
5.24,0.33588737,0.33602902
5.25,0.3422537,0.34237844
5.26,0.34862006,0.348728
5.27,0.3549861,0.3550774
5.28,0.36135244,0.36142722
5.29,0.3677185,0.36777684
5.3,0.37408483,0.37412694
5.31,0.38045087,0.38047683
5.32,0.38681722,0.38682714
5.33,0.39318323,0.39317727
5.34,0.39954957,0.39952782
5.35,0.40591562,0.40587822
5.36,0.41228196,0.41222903
5.37,0.418648,0.41857967
5.38,0.42501435,0.42493072
5.39,0.4313804,0.43128157
5.4,0.43774673,0.43763286
5.41,0.44411278,0.44398394
5.42,0.45047912,0.45033547
5.43,0.45684516,0.4566868
5.44,0.4632115,0.46303856
5.45,0.46957755,0.4693901
5.46,0.4759439,0.47574207
5.47,0.48230994,0.48209384
5.48,0.48867628,0.48844603
5.49,0.4950423,0.494798
5.5,0.50140864,0.5011504
5.51,0.507775,0.507503
5.52,0.514141,0.5138552
5.5299997,0.5205071,0.5202077
5.54,0.5268734,0.5265605
5.55,0.5332398,0.53291345
5.56,0.5396058,0.53926617
5.57,0.54597217,0.54561937
5.58,0.5523382,0.55197227
5.59,0.55870456,0.55832565
5.6,0.56507057,0.5646787
5.61,0.5714369,0.5710323
5.62,0.57780296,0.5773856
5.63,0.58416927,0.58373934
5.64,0.59053534,0.5900929
5.65,0.59690166,0.5964468
5.66,0.6032677,0.60280055
5.67,0.60963404,0.6091547
5.68,0.6160001,0.6155086
5.69,0.6223664,0.6218629
5.7,0.6287325,0.62821704
5.71,0.6350988,0.6345715
5.7200003,0.6414652,0.6409261
5.73,0.6478312,0.64728045
5.74,0.6541973,0.65363497
5.75,0.6605636,0.65998983
5.76,0.66692996,0.66634476
5.77,0.673296,0.6726995
5.7799997,0.679662,0.67905426
5.79,0.68602836,0.68540955
5.8,0.6923947,0.6917648
5.81,0.69876075,0.6981199
5.82,0.70512706,0.70447534
5.83,0.71149313,0.7108306
5.84,0.71785945,0.7171862
5.85,0.7242255,0.7235417
5.86,0.73059183,0.72989744
5.87,0.7369579,0.736253
5.88,0.7433242,0.74260896
5.89,0.7496903,0.7489647
5.9,0.7560566,0.7553208
5.91,0.7624227,0.7616767
5.92,0.768789,0.76803297
5.93,0.775155,0.774389
5.94,0.7815214,0.78074545
5.95,0.7878874,0.7871016
5.96,0.79425377,0.7934582
5.9700003,0.8006201,0.7998149
5.98,0.80698615,0.80617136
5.99,0.81335217,0.81252784
6,0.81971854,0.81888473
