t,input,output
0.01,0.039989334,0.03986778
0.02,0.07991469,0.07895622
0.03,0.119712204,0.11866251
0.04,0.15931821,0.15816686
0.05,0.19866933,0.19743273
0.06,0.23770262,0.23638323
0.07,0.27635565,0.27495652
0.08,0.31456655,0.31309062
0.09,0.35227424,0.35072455
0.1,0.38941833,0.38779804
0.11,0.4259395,0.42425185
0.12,0.46177918,0.46002755
0.13,0.4968801,0.49506798
0.14,0.5311862,0.52931714
0.15,0.5646425,0.56272006
0.16,0.59719545,0.5952234
0.17,0.628793,0.6267752
0.18,0.65938467,0.6573249
0.19,0.68892145,0.68682367
0.2,0.7173561,0.71522427
0.21,0.7446431,0.7424813
0.22,0.7707389,0.7685512
0.23,0.7956016,0.79339206
0.24,0.8191916,0.8169644
0.25,0.84147096,0.83923024
0.26,0.8624042,0.8601542
0.27,0.8819578,0.8797027
0.28,0.90010047,0.8978444
0.29,0.9168031,0.9145503
0.3,0.9320391,0.92979366
0.31,0.94578403,0.9435502
0.32,0.95801586,0.95579785
0.33,0.96871513,0.966517
0.34,0.9778646,0.9756904
0.35,0.98544973,0.9833035
0.36,0.99145836,0.98934406
0.37,0.99588084,0.9938025
0.38,0.99871016,0.99667156
0.39,0.9999417,0.9979467
0.4,0.9995736,0.9976258
0.41,0.9976064,0.9957096
0.42,0.99404323,0.992201
0.43,0.98888975,0.9871054
0.44,0.9821543,0.9804314
0.45,0.9738476,0.9721893
0.46,0.963983,0.96239245
0.47,0.9525762,0.95105654
0.48,0.93964547,0.9381996
0.49,0.9252115,0.9238422
0.5,0.9092974,0.9080074
0.51,0.8919287,0.8907205
0.52,0.873133,0.87200904
0.53,0.85294056,0.85190314
0.54,0.8313834,0.8304347
0.55,0.80849636,0.8076383
0.56,0.78431594,0.78355044
0.57,0.75888073,0.7582094
0.58,0.7322315,0.73165596
0.59,0.70441085,0.70393246
0.6,0.67546314,0.6750831
0.61,0.645435,0.64515436
0.62,0.6143742,0.6141939
0.63,0.58233064,0.5822514
0.64,0.5493555,0.5493779
0.65,0.5155017,0.51562613
0.66,0.48082253,0.48104927
0.67,0.44537458,0.4457037
0.68,0.40921414,0.4096455
0.69,0.37239882,0.3729322
0.7,0.3349882,0.33562315
0.71,0.29704145,0.29777735
0.72,0.25861925,0.25945538
0.73,0.2197833,0.22071874
0.74,0.18059647,0.18163013
0.75,0.14112,0.14225061
0.76,0.101418026,0.10264422
0.77,0.061553795,0.06287399
0.78,0.02159109,0.02300357
0.79,-0.018406393,-0.016903475
0.8,-0.058374193,-0.056782853
0.81,-0.0982486,-0.096571
0.82,-0.13796584,-0.13620427
0.83,-0.17746235,-0.17561924
0.84,-0.21667475,-0.21475267
0.85,-0.2555412,-0.25354287
0.86,-0.29399836,-0.29192656
0.87,-0.3319852,-0.32984293
0.88,-0.36944115,-0.3672314
0.89,-0.40630564,-0.4040316
0.9,-0.44252035,-0.4401853
0.91,-0.47802734,-0.47563466
0.92,-0.51276934,-0.5103225
0.93,-0.5466909,-0.54419345
0.94,-0.5797382,-0.5771938
0.95,-0.61185783,-0.6092702
0.96,-0.6429987,-0.6403716
0.97,-0.6731112,-0.67044854
0.98,-0.70214635,-0.699452
0.99,-0.7300584,-0.7273363
1,-0.7568025,-0.75405675
1.01,-0.7823359,-0.7795705
1.02,-0.8066177,-0.80383676
1.03,-0.8296091,-0.82681674
1.04,-0.8512733,-0.84847367
1.05,-0.87157565,-0.8687729
1.06,-0.8904837,-0.88768196
1.07,-0.9079673,-0.90517086
1.08,-0.92399824,-0.9212111
1.09,-0.9385509,-0.93577725
1.1,-0.9516021,-0.9488461
1.11,-0.96313095,-0.9603967
1.12,-0.97311896,-0.9704105
1.13,-0.9815503,-0.97887164
1.14,-0.98841125,-0.9857664
1.15,-0.99369097,-0.99108386
1.16,-0.99738103,-0.9948155
1.17,-0.99947554,-0.99695545
1.1800001,-0.99997103,-0.9975001
1.19,-0.9988668,-0.9964487
1.2,-0.9961646,-0.99380296
1.21,-0.99186873,-0.989567
1.22,-0.9859861,-0.9837476
1.23,-0.9785261,-0.97635424
1.24,-0.96950066,-0.9673985
1.25,-0.9589243,-0.95689505
1.26,-0.94681376,-0.94486034
1.27,-0.9331886,-0.93131393
1.28,-0.9180705,-0.9162772
1.29,-0.90148354,-0.89977425
1.3,-0.883455,-0.8818322
1.31,-0.8640124,-0.86247844
1.3199999,-0.84318787,-0.8417449
1.33,-0.82101417,-0.8196643
1.34,-0.7975272,-0.7962723
1.35,-0.77276444,-0.7716062
1.36,-0.7467654,-0.7457055
1.37,-0.71957135,-0.7186112
1.38,-0.6912264,-0.6903673
1.39,-0.6617765,-0.6610195
1.4,-0.6312667,-0.63061285
1.41,-0.5997474,-0.5991975
1.42,-0.56726867,-0.5668233
1.4300001,-0.533882,-0.5335417
1.44,-0.4996417,-0.4994067
1.45,-0.46460202,-0.4644725
1.46,-0.42881864,-0.42879456
1.47,-0.3923497,-0.39243087
1.48,-0.35525393,-0.35544
1.49,-0.31758854,-0.31787893
1.5,-0.2794155,-0.2798096
1.51,-0.24079546,-0.24129236
1.52,-0.2017902,-0.20238888
1.53,-0.16246213,-0.16316141
1.54,-0.12287415,-0.1236727
1.55,-0.08308959,-0.08398591
1.56,-0.043172114,-0.044164557
1.5699999,-0.0031855688,-0.0042723194
1.5799999,0.03680655,0.035627436
1.5899999,0.07673836,0.07546897
1.6,0.1165493,0.11519193
1.61,0.15617284,0.1547298
1.62,0.19554654,0.19402039
1.63,0.2346074,0.23300079
