t,input,output
0.01,1,0.99696034
0.02,1,0.97906655
0.03,1,0.9976754
0.04,1,0.99737287
0.05,1,0.99773717
0.06,1,0.9977489
0.07,1,0.99777263
0.08,1,0.99778974
0.09,1,0.9978069
0.1,1,0.99782383
0.11,1,0.9978406
0.12,1,0.9978573
0.13,1,0.9978738
0.14,1,0.9978902
0.15,1,0.99790645
0.16,1,0.9979226
0.17,1,0.99793863
0.18,1,0.99795455
0.19,1,0.9979703
0.2,1,0.99798596
0.21,1,0.9980015
0.22,1,0.9980169
0.23,1,0.9980322
0.24,1,0.99804735
0.25,1,0.99806243
0.26,1,0.9980774
0.27,1,0.99809223
0.28,1,0.9981069
0.29,1,0.9981215
0.3,1,0.998136
0.31,1,0.9981504
0.32,1,0.99816465
0.33,1,0.99817884
0.34,1,0.99819285
0.35,1,0.9982068
0.36,1,0.9982206
0.37,1,0.99823433
0.38,1,0.998248
0.39,1,0.99826145
0.4,1,0.99827486
0.41,1,0.9982882
0.42,1,0.9983014
0.43,1,0.9983145
0.44,1,0.9983275
0.45,1,0.99834037
0.46,1,0.9983532
0.47,1,0.9983659
0.48,1,0.9983785
0.49,1,0.99839103
0.5,1,0.99840343
0.51,1,0.9984157
0.52,1,0.9984279
0.53,1,0.9984401
0.54,1,0.9984521
0.55,1,0.99846405
0.56,1,0.9984759
0.57,1,0.99848765
0.58,1,0.99849933
0.59,1,0.9985109
0.6,1,0.9985224
0.61,1,0.9985338
0.62,1,0.99854505
0.63,1,0.9985563
0.64,1,0.99856746
0.65,1,0.9985785
0.66,1,0.99858946
0.67,1,0.9986003
0.68,1,0.9986111
0.69,1,0.9986218
0.7,1,0.9986325
0.71,1,0.998643
0.72,1,0.9986535
0.73,1,0.99866384
0.74,1,0.99867415
0.75,1,0.9986844
0.76,1,0.99869454
0.77,1,0.9987046
0.78,1,0.9987146
0.79,1,0.9987245
0.8,1,0.99873435
0.81,1,0.99874413
0.82,1,0.9987538
0.83,1,0.9987634
0.84,1,0.9987729
0.85,1,0.9987824
0.86,1,0.9987918
0.87,1,0.9988011
0.88,1,0.99881035
0.89,1,0.99881953
0.9,1,0.99882865
0.91,1,0.9988377
0.92,1,0.99884665
0.93,1,0.99885553
0.94,1,0.99886435
0.95,1,0.9988731
0.96,1,0.9988818
0.97,1,0.99889046
0.98,1,0.998899
0.99,1,0.9989075
1,1,0.9989159
1.01,1,0.99892426
1.02,1,0.9989326
1.03,1,0.9989408
1.04,1,0.998949
1.05,1,0.9989571
1.06,1,0.99896514
1.07,1,0.99897313
1.08,1,0.99898106
1.09,1,0.99898887
1.1,1,0.9989967
1.11,1,0.9990044
1.12,1,0.9990121
1.13,1,0.99901974
1.14,1,0.9990273
1.15,1,0.99903476
1.16,1,0.9990422
1.17,1,0.9990496
1.1800001,1,0.99905694
1.19,1,0.9990642
1.2,1,0.9990714
1.21,1,0.99907863
1.22,1,0.9990857
1.23,1,0.99909276
1.24,1,0.99909973
1.25,1,0.9991067
1.26,1,0.9991136
1.27,1,0.9991204
1.28,1,0.9991272
1.29,1,0.99913394
1.3,1,0.9991406
1.31,1,0.99914724
1.3199999,1,0.99915385
1.33,1,0.99916035
1.34,1,0.99916685
1.35,1,0.9991733
1.36,1,0.99917966
1.37,1,0.999186
1.38,1,0.99919224
1.39,1,0.9991985
1.4,1,0.99920464
1.41,1,0.9992108
1.42,1,0.99921685
1.4300001,1,0.99922293
1.44,1,0.9992289
1.45,1,0.99923486
1.46,1,0.99924076
1.47,1,0.9992466
1.48,1,0.99925244
1.49,1,0.99925816
1.5,1,0.9992639
1.51,1,0.9992696
1.52,1,0.9992752
1.53,1,0.9992808
1.54,1,0.99928635
1.55,1,0.99929184
1.56,1,0.9992973
1.5699999,1,0.99930274
1.5799999,1,0.9993081
1.5899999,1,0.9993135
1.6,1,0.9993188
1.61,1,0.999324
1.62,1,0.9993292
1.63,1,0.9993344
1.64,1,0.9993395
1.65,1,0.99934465
1.6600001,1,0.99934965
1.6700001,1,0.9993547
1.6800001,1,0.99935967
1.69,1,0.9993646
1.7,1,0.9993695
1.71,1,0.9993744
1.72,1,0.9993792
1.73,1,0.999384
1.74,1,0.99938875
1.75,1,0.99939346
1.76,1,0.9993981
1.77,1,0.99940276
1.78,1,0.99940735
1.79,1,0.99941194
1.8,1,0.9994165
1.81,1,0.999421
1.8199999,1,0.9994255
1.8299999,1,0.9994299
1.8399999,1,0.9994343
1.85,1,0.99943864
1.86,1,0.999443
1.87,1,0.9994473
1.88,1,0.9994515
1.89,1,0.99945575
1.9,1,0.99946
1.9100001,1,0.9994641
1.9200001,1,0.99946827
1.9300001,1,0.9994724
1.94,1,0.99947643
1.95,1,0.9994805
1.96,1,0.9994845
1.97,1,0.9994885
1.98,1,0.9994924
1.99,1,0.9994963
2,1,0.9995002
2.01,1,0.999504
2.02,1,0.99950784
2.03,1,0.99951166
2.04,1,0.9995154
2.05,1,0.99951917
2.06,1,0.99952286
2.07,1,0.99952656
2.08,1,0.9995302
2.09,1,0.99953383
2.1,1,0.9995374
2.11,1,0.999541
2.12,1,0.99954456
2.13,1,0.9995481
2.14,1,0.99955153
2.15,1,0.999555
2.16,1,0.99955845
2.17,1,0.99956185
2.18,1,0.9995652
2.19,1,0.9995686
2.2,1,0.9995719
2.21,1,0.9995752
2.22,1,0.9995785
2.23,1,0.9995817
2.24,1,0.999585
2.25,1,0.99958813
2.26,1,0.99959135
2.27,1,0.99959445
2.28,1,0.9995976
2.29,1,0.9996007
2.3,1,0.9996038
2.31,1,0.99960685
2.32,1,0.9996099
2.33,1,0.99961287
2.34,1,0.99961585
2.35,1,0.9996188
2.3600001,1,0.99962175
2.37,1,0.99962467
2.38,1,0.9996276
2.3899999,1,0.99963045
2.4,1,0.9996333
2.41,1,0.9996361
2.42,1,0.9996389
2.43,1,0.9996417
2.44,1,0.9996445
2.45,1,0.99964726
2.46,1,0.99964994
2.47,1,0.9996527
2.48,1,0.9996553
2.49,1,0.999658
2.5,1,0.9996606
2.51,1,0.99966323
2.52,1,0.99966586
2.53,1,0.9996684
2.54,1,0.999671
2.55,1,0.99967355
2.56,1,0.99967605
2.57,1,0.99967855
2.58,1,0.999681
2.59,1,0.9996835
2.6,1,0.9996859
2.6100001,1,0.9996883
2.62,1,0.9996907
2.63,1,0.9996931
2.6399999,1,0.9996955
2.65,1,0.99969786
2.66,1,0.9997002
2.67,1,0.99970245
2.68,1,0.9997048
2.69,1,0.99970704
2.7,1,0.9997093
2.71,1,0.9997116
2.72,1,0.9997138
2.73,1,0.999716
2.74,1,0.9997182
2.75,1,0.99972034
2.76,1,0.9997225
2.77,1,0.9997246
2.78,1,0.9997268
2.79,1,0.99972886
2.8,1,0.99973094
2.81,1,0.99973303
2.82,1,0.9997351
2.83,1,0.99973714
2.84,1,0.99973917
2.85,1,0.9997412
2.8600001,1,0.99974316
2.87,1,0.9997452
2.88,1,0.99974716
2.8899999,1,0.99974906
2.9,1,0.99975103
2.91,1,0.99975294
2.92,1,0.99975485
2.93,1,0.99975675
2.94,1,0.9997586
2.95,1,0.99976045
2.96,1,0.9997623
2.97,1,0.99976414
2.98,1,0.999766
2.99,1,0.9997678
3,1,0.99976957
3.01,1,0.99977136
3.02,1,0.9997731
3.03,1,0.9997749
3.04,1,0.9997766
3.05,1,0.99977833
3.06,1,0.99978
3.07,1,0.9997817
3.08,1,0.9997834
3.09,1,0.99978507
3.1,1,0.99978673
3.11,1,0.9997884
3.12,1,0.99979
3.13,1,0.9997916
3.14,1,0.99979323
3.15,1,0.99979484
3.16,1,0.9997964
3.17,1,0.999798
3.18,1,0.99979955
3.19,1,0.9998011
3.2,1,0.99980265
3.21,1,0.99980414
3.22,1,0.9998056
3.23,1,0.9998072
3.24,1,0.99980867
3.25,1,0.9998101
3.26,1,0.9998116
3.27,1,0.999813
3.28,1,0.99981445
3.29,1,0.9998159
3.3,1,0.9998173
3.31,1,0.99981874
3.32,1,0.9998201
3.33,1,0.99982154
3.34,1,0.9998229
3.35,1,0.9998243
3.3600001,1,0.9998256
3.37,1,0.99982697
3.38,1,0.9998283
3.3899999,1,0.99982965
3.4,1,0.99983096
3.41,1,0.9998323
3.42,1,0.9998335
3.43,1,0.99983484
3.44,1,0.9998361
3.45,1,0.99983734
3.46,1,0.9998386
3.47,1,0.99983984
3.48,1,0.9998411
3.49,1,0.99984235
3.5,1,0.99984354
3.51,1,0.99984473
3.52,1,0.9998459
3.53,1,0.9998471
3.54,1,0.9998483
3.55,1,0.9998495
3.56,1,0.99985063
3.57,1,0.99985176
3.58,1,0.99985296
3.59,1,0.9998541
3.6,1,0.9998552
3.6100001,1,0.9998563
3.62,1,0.9998574
3.63,1,0.9998585
3.6399999,1,0.99985963
3.65,1,0.9998607
3.66,1,0.9998618
3.67,1,0.99986285
3.68,1,0.99986386
3.69,1,0.99986494
3.7,1,0.999866
3.71,1,0.999867
3.72,1,0.99986804
3.73,1,0.99986905
3.74,1,0.99987006
3.75,1,0.9998711
3.76,1,0.9998721
3.77,1,0.99987304
3.78,1,0.99987406
3.79,1,0.999875
3.8,1,0.99987596
3.81,1,0.9998769
3.82,1,0.99987787
3.83,1,0.9998788
3.84,1,0.9998798
3.85,1,0.9998807
3.8600001,1,0.9998816
3.87,1,0.9998825
3.88,1,0.9998834
3.8899999,1,0.9998843
3.9,1,0.9998852
3.91,1,0.9998861
3.92,1,0.999887
3.93,1,0.9998878
3.94,1,0.9998887
3.95,1,0.99988955
3.96,1,0.99989045
3.97,1,0.9998913
3.98,1,0.9998921
3.99,1,0.99989295
4,1,0.9998938
4.01,1,0.99989456
4.02,1,0.9998954
4.03,1,0.99989617
4.04,1,0.999897
4.05,1,0.9998978
4.06,1,0.99989855
4.07,1,0.9998994
4.08,1,0.99990016
4.09,1,0.99990094
4.1,1,0.99990165
4.11,1,0.9999024
4.12,1,0.9999032
4.13,1,0.9999039
4.14,1,0.9999047
4.15,1,0.9999054
4.16,1,0.9999061
4.17,1,0.99990684
4.18,1,0.99990755
